City,Day,FirstTeam,FirstToBat,Month,Result,SecondTeam,Venue,Winner,Year
Manchester,28,England,1,6,0,Sri Lanka,Old Trafford,1,2006
Delhi,11,India,0,10,0,West Indies,Feroz Shah Kotla,0,2014
Faisalabad,11,Pakistan,1,4,0,Bangladesh,Iqbal Stadium,0,2008
Cuttack,29,India,1,11,0,West Indies,Barabati Stadium,0,2011
Delhi,24,South Africa,1,2,0,West Indies,Feroz Shah Kotla,0,2011
Auckland,6,New Zealand,1,3,0,Australia,Eden Park,1,2010
St Lucia,25,West Indies,0,4,0,Pakistan,"Beausejour Stadium, Gros Islet",1,2011
Johannesburg,22,South Africa,0,1,0,Sri Lanka,New Wanderers Stadium,1,2012
Nagpur,25,Australia,1,2,0,New Zealand,"Vidarbha Cricket Association Stadium, Jamtha",0,2011
Durban,21,South Africa,0,3,0,Pakistan,Kingsmead,1,2013
Kochi,21,India,1,11,0,West Indies,Nehru Stadium,0,2013
Bristol,10,England,1,7,0,Bangladesh,County Ground,1,2010
St Kitts,6,West Indies,1,7,0,Australia,"Warner Park, Basseterre",1,2008
Napier,28,New Zealand,0,12,0,Sri Lanka,McLean Park,1,2006
Centurion,10,South Africa,0,11,0,Zimbabwe,SuperSport Park,0,2009
Brisbane,14,Australia,0,2,0,West Indies,"Brisbane Cricket Ground, Woolloongabba",0,2010
Mumbai,5,Australia,1,11,0,West Indies,Brabourne Stadium,0,2006
London,13,England,0,6,0,Sri Lanka,Kennington Oval,1,2013
Bulawayo,16,Zimbabwe,1,10,0,Afghanistan,Queens Sports Club,0,2015
Potchefstroom,17,South Africa,1,10,0,Zimbabwe,Senwes Park,0,2010
Dubai,11,Canada,0,3,0,Kenya,ICC Global Cricket Academy,1,2013
Colombo,5,Sri Lanka,0,3,2,Australia,R Premadasa Stadium,0,2011
Dublin,14,Ireland,0,7,2,West Indies,Clontarf Cricket Club Ground,0,2007
Johannesburg,30,India,1,9,0,West Indies,New Wanderers Stadium,0,2009
Durban,16,South Africa,0,1,0,West Indies,Kingsmead,0,2015
Belfast,6,Ireland,1,9,0,Scotland,"Civil Service Cricket Club, Stormont",0,2013
Chester-le-Street,10,England,0,9,0,Pakistan,Riverside Ground,0,2010
Whangarei,6,New Zealand,0,2,0,Zimbabwe,Cobham Oval (New),0,2012
Nottingham,7,England,1,7,0,West Indies,Trent Bridge,1,2007
Chennai,22,India,0,10,0,South Africa,"MA Chidambaram Stadium, Chepauk",0,2015
Barbados,19,West Indies,0,4,0,Bangladesh,"Kensington Oval, Bridgetown",0,2007
Johannesburg,18,South Africa,0,1,0,West Indies,New Wanderers Stadium,0,2015
Karachi,2,Pakistan,1,7,0,India,National Stadium,0,2008
Grenada,22,West Indies,0,2,0,Zimbabwe,"National Cricket Stadium, St George's",0,2013
Bloemfontein,3,South Africa,1,2,0,England,Mangaung Oval,1,2016
Mirpur,22,Bangladesh,1,4,0,Pakistan,Shere Bangla National Stadium,0,2015
Kolkata,3,India,1,1,0,Pakistan,Eden Gardens,1,2013
Chester-le-Street,24,England,0,6,0,Sri Lanka,Riverside Ground,1,2006
St Vincent,14,West Indies,1,3,0,Zimbabwe,"Arnos Vale Ground, Kingstown",0,2010
Mirpur,8,Bangladesh,1,6,0,Pakistan,Shere Bangla National Stadium,1,2008
Bristol,24,England,1,8,0,India,County Ground,1,2007
