City,Day,DewPoint,FirstTeam,FirstToBat,Humidity,Month,Result,SecondTeam,Temp,Venue,WindSpeed,Winner,Year
31,22,9,5,1,35,1,0,4,24,32,19,1,2013
48,18,24,13,0,80,4,0,12,28,51,25,1,2007
1,31,18,1,0,63,10,0,4,25,1,0,0,2013
54,16,11,4,1,75,2,0,3,16,58,18,0,2007
14,19,21,3,0,77,2,0,11,24,14,10,0,2012
22,30,12,10,1,83,8,0,11,15,22,14,0,2007
15,3,21,7,1,80,4,0,10,25,15,9,1,2009
56,9,19,5,1,77,2,2,6,24,60,12,0,2007
23,25,23,1,1,60,6,0,12,32,23,11,1,2008
1,11,22,1,1,68,10,0,4,28,1,1,0,2010
1,11,13,1,1,46,3,0,6,21,1,1,1,2012
11,25,4,6,1,42,12,0,12,18,11,12,0,2013
64,11,17,5,0,69,1,0,12,24,69,13,0,2012
49,10,10,5,0,55,3,0,6,20,72,11,0,2013
61,8,20,7,1,59,10,0,2,28,65,7,0,2006
21,1,7,10,1,69,7,0,12,12,21,12,1,2011
24,6,24,7,0,80,6,0,11,29,24,7,1,2011
1,17,22,1,0,53,4,0,6,30,1,2,0,2015
23,24,21,1,0,54,6,0,8,32,23,9,0,2008
66,2,25,9,0,81,5,0,8,29,73,4,0,2014
24,25,23,1,1,88,3,0,21,26,24,7,0,2007
1,3,14,1,1,58,12,0,6,19,1,0,1,2011
36,1,6,2,0,60,8,0,11,12,37,21,1,2013
46,15,5,10,0,69,6,0,4,10,49,4,0,2008
19,31,17,12,1,61,1,0,11,26,40,10,1,2009
10,21,14,6,1,84,2,0,7,16,10,15,1,2015
49,31,-1,5,0,27,10,0,17,20,74,6,0,2008
65,10,22,12,0,75,11,2,4,28,70,7,0,2013
19,3,22,12,1,88,2,0,7,24,19,14,0,2011
19,31,23,12,0,75,7,0,11,29,40,15,1,2012
3,29,25,6,1,71,6,0,12,31,3,12,1,2008
1,24,26,1,1,82,6,0,11,28,1,1,1,2015
24,8,25,7,0,81,6,0,11,29,24,7,1,2011
47,20,24,17,0,83,2,0,4,28,50,9,1,2011
24,3,24,7,0,78,6,0,5,29,24,11,1,2010
22,10,11,10,1,90,7,0,3,12,22,9,0,2012
67,15,11,5,0,48,3,0,6,22,75,8,1,2013
39,12,10,11,0,32,3,0,5,27,41,10,1,2011
23,29,15,6,1,32,5,0,2,36,23,11,0,2015
51,2,14,21,1,64,12,0,14,20,54,20,0,2006
9,28,24,7,1,74,6,0,12,29,9,20,0,2013
56,6,15,5,0,68,2,0,10,21,60,28,1,2016
42,21,13,10,1,94,6,0,4,14,44,16,1,2008
6,5,20,7,1,72,3,0,10,25,6,14,1,2014
11,23,16,6,1,60,11,0,12,24,11,12,0,2011
1,6,18,1,0,65,12,0,2,23,1,0,0,2010
38,14,11,5,0,83,6,1,7,14,39,16,0,2013
34,3,12,5,1,57,2,0,7,20,35,12,0,2008
19,23,22,12,1,80,7,0,1,26,40,9,0,2007
29,14,16,11,1,78,3,0,2,22,30,7,0,2015
