City,Day,DewPoint,FirstTeam,FirstToBat,Humidity,Month,Result,SecondTeam,Temp,Venue,WindSpeed,Winner,Year
Dunedin,3,11,New Zealand,0,69,2,0,Zimbabwe,16,University Oval,12,0,2012
Chennai,11,23,India,0,80,12,0,West Indies,27,"MA Chidambaram Stadium, Chepauk",4,0,2011
Perth,1,6,Australia,1,29,2,0,West Indies,26,Western Australia Cricket Association Ground,24,0,2013
London,12,13,England,1,65,6,0,New Zealand,18,Kennington Oval,10,1,2015
Ahmedabad,6,19,India,1,62,11,0,Sri Lanka,28,"Sardar Patel Stadium, Motera",4,0,2014
Benoni,30,12,Bermuda,0,56,11,0,Canada,22,Willowmoore Park,16,1,2006
Chittagong,14,20,Bangladesh,1,67,3,0,Netherlands,26,Zahur Ahmed Chowdhury Stadium,6,0,2011
Chittagong,12,15,Bangladesh,1,66,12,0,Zimbabwe,22,Zahur Ahmed Chowdhury Stadium,1,0,2010
Colombo,11,23,India,1,76,9,0,New Zealand,28,R Premadasa Stadium,10,0,2009
Colombo,10,23,Sri Lanka,0,80,10,0,England,27,R Premadasa Stadium,9,1,2007
Colombo,23,23,Sri Lanka,0,79,7,0,South Africa,26,R Premadasa Stadium,13,0,2013
Delhi,17,12,India,1,45,10,0,England,26,Feroz Shah Kotla,3,0,2011
Leeds,11,11,England,1,87,9,0,Australia,14,Headingley,17,0,2015
Canberra,19,8,Australia,0,53,11,0,South Africa,20,Manuka Oval,10,0,2014
Port Elizabeth,29,16,South Africa,0,73,11,0,India,20,St George's Park,9,0,2006
Abu Dhabi,13,17,England,0,54,11,0,Pakistan,26,Sheikh Zayed Stadium,14,0,2015
London,2,15,England,0,85,9,0,Pakistan,18,Lord's,18,1,2006
London,19,9,England,1,65,6,0,West Indies,14,Kennington Oval,8,0,2012
Bulawayo,22,2,Zimbabwe,0,42,7,0,Afghanistan,15,Queens Sports Club,13,1,2014
Mirpur,28,17,Bangladesh,0,56,2,0,England,25,Shere Bangla National Stadium,1,1,2010
London,6,10,England,1,66,9,0,Australia,16,Lord's,15,1,2009
Barbados,2,24,West Indies,1,88,5,0,Pakistan,26,"Kensington Oval, Bridgetown",21,0,2011
Wellington,6,17,New Zealand,1,83,3,2,India,20,Westpac Stadium,16,0,2009
Jamaica,26,21,West Indies,1,62,6,0,India,30,"Sabina Park, Kingston",21,1,2009
Perth,30,8,England,1,25,1,0,India,28,Western Australia Cricket Association Ground,17,0,2015
Brisbane,1,21,Pakistan,0,76,3,0,Zimbabwe,25,"Brisbane Cricket Ground, Woolloongabba",11,0,2015
Jaipur,16,18,India,1,56,10,0,Australia,28,Sawai Mansingh Stadium,2,0,2013
Antigua,2,20,West Indies,0,75,3,0,England,24,"Sir Vivian Richards Stadium, North Sound",5,1,2014
Colombo,6,24,Sri Lanka,1,76,7,0,South Africa,28,R Premadasa Stadium,13,1,2014
Glasgow,16,8,Scotland,0,76,8,0,India,13,Titwood,16,1,2007
Aberdeen,29,8,Scotland,1,77,6,0,Netherlands,12,Mannofield Park,6,0,2011
Ahmedabad,27,7,India,1,36,2,0,South Africa,26,"Sardar Patel Stadium, Motera",5,1,2010
Brisbane,4,22,Australia,0,82,3,0,Sri Lanka,26,"Brisbane Cricket Ground, Woolloongabba",13,0,2012
Mirpur,3,12,Afghanistan,1,32,3,0,Sri Lanka,24,Shere Bangla National Stadium,3,1,2014
Hyderabad,5,20,India,1,66,10,0,Australia,25,"Rajiv Gandhi International Stadium, Uppal",5,1,2007
Johannesburg,17,6,South Africa,1,51,4,0,Australia,16,New Wanderers Stadium,10,1,2009
Indore,14,12,India,0,29,10,0,South Africa,27,Holkar Cricket Stadium,8,0,2015
Mirpur,13,13,India,0,40,3,0,Sri Lanka,26,Shere Bangla National Stadium,1,0,2012
Fatullah,27,13,Afghanistan,1,42,2,0,Pakistan,22,Khan Shaheb Osman Ali Stadium,3,1,2014
Antigua,2,18,Bangladesh,0,59,4,0,New Zealand,26,"Sir Vivian Richards Stadium, North Sound",24,1,2007
Brisbane,6,18,England,0,65,2,0,New Zealand,24,"Brisbane Cricket Ground, Woolloongabba",10,0,2007
Colombo,29,24,Sri Lanka,1,74,3,0,New Zealand,28,R Premadasa Stadium,8,0,2011
Lahore,10,10,Pakistan,1,79,12,0,West Indies,14,Gaddafi Stadium,4,0,2006
Napier,3,12,New Zealand,1,46,3,0,Australia,22,McLean Park,9,0,2010
Mumbai,20,22,New Zealand,0,65,10,0,Sri Lanka,30,Brabourne Stadium,3,1,2006
Southampton,2,5,England,1,53,6,0,New Zealand,13,The Rose Bowl,12,1,2013
Grenada,12,23,New Zealand,0,76,4,0,Sri Lanka,28,"National Cricket Stadium, St George's",26,1,2007
Lahore,18,13,Pakistan,1,61,10,0,South Africa,22,Gaddafi Stadium,2,1,2007
Wellington,25,17,New Zealand,0,81,1,0,Pakistan,22,Basin Reserve,31,0,2016
Cape Town,9,15,South Africa,0,80,4,0,Australia,19,Newlands,24,0,2009
Cape Town,18,16,South Africa,0,72,1,0,India,22,Newlands,16,1,2011
Ahmedabad,28,16,England,1,50,10,0,West Indies,29,"Sardar Patel Stadium, Motera",4,0,2006
Colombo,20,24,Sri Lanka,0,81,7,0,South Africa,28,R Premadasa Stadium,11,0,2013
Perth,24,14,Australia,1,43,1,0,England,28,Western Australia Cricket Association Ground,30,1,2014
Perth,16,8,Australia,0,48,11,0,South Africa,20,Western Australia Cricket Association Ground,12,1,2014
Antigua,11,24,West Indies,0,75,6,0,India,28,"Sir Vivian Richards Stadium, North Sound",10,1,2011
London,17,6,England,1,69,9,0,Pakistan,12,Kennington Oval,12,1,2010
Bulawayo,25,6,Zimbabwe,1,20,10,0,New Zealand,28,Queens Sports Club,12,0,2011
Bloemfontein,15,5,South Africa,1,49,9,0,Zimbabwe,16,Goodyear Park,9,0,2006
London,17,9,Australia,1,61,6,0,Sri Lanka,16,Kennington Oval,13,1,2013
Hobart,28,10,India,1,68,2,0,Sri Lanka,16,Bellerive Oval,15,0,2012
Bulawayo,1,10,Zimbabwe,0,86,6,0,Sri Lanka,12,Queens Sports Club,14,1,2010
Mirpur,12,19,Bangladesh,0,58,3,0,South Africa,26,Shere Bangla National Stadium,1,1,2008
Gwalior,24,14,India,0,60,2,0,South Africa,22,Captain Roop Singh Stadium,2,0,2010
London,28,12,England,1,64,6,0,New Zealand,19,Lord's,21,1,2008
Chennai,27,21,India,0,75,1,0,West Indies,26,"MA Chidambaram Stadium, Chepauk",4,1,2007
Christchurch,23,3,Canada,1,42,1,0,Scotland,18,Hagley Oval,19,1,2014
Karachi,19,21,Pakistan,0,64,4,0,Bangladesh,28,National Stadium,11,0,2008
Chennai,10,25,India,1,91,12,0,New Zealand,26,"MA Chidambaram Stadium, Chepauk",4,0,2010
Manchester,8,9,England,0,83,9,0,Australia,11,Old Trafford,6,0,2015
Port Elizabeth,23,11,South Africa,0,63,10,0,Australia,18,St George's Park,24,0,2011
Abu Dhabi,14,11,Afghanistan,1,57,1,0,Scotland,18,Sheikh Zayed Stadium,10,1,2015
Fatullah,28,14,India,0,52,2,0,Sri Lanka,20,Khan Shaheb Osman Ali Stadium,3,1,2014
Mirpur,11,10,Bangladesh,0,64,1,0,India,15,Shere Bangla National Stadium,4,1,2010
St Kitts,25,24,West Indies,0,76,8,0,Bangladesh,28,"Warner Park, Basseterre",12,0,2014
Perth,29,12,Australia,0,33,1,0,Pakistan,30,Western Australia Cricket Association Ground,28,0,2010
Colombo,22,24,Sri Lanka,1,83,8,0,Australia,26,R Premadasa Stadium,14,0,2011
London,2,14,England,1,86,9,0,South Africa,15,Lord's,13,0,2012
Auckland,14,13,New Zealand,1,83,3,0,India,16,Eden Park,8,0,2009
Johannesburg,27,2,New Zealand,0,28,9,0,Sri Lanka,22,New Wanderers Stadium,12,0,2009
Brisbane,25,20,Ireland,1,76,2,0,United Arab Emirates,24,"Brisbane Cricket Ground, Woolloongabba",13,0,2015
Dublin,12,11,Ireland,0,86,9,0,Scotland,12,"The Village, Malahide",6,1,2014
Birmingham,10,7,Pakistan,1,74,6,0,South Africa,12,Edgbaston,9,1,2013
Dublin,8,6,Ireland,1,82,9,0,Scotland,10,"The Village, Malahide",10,0,2014
Kuala Lumpur,24,24,Australia,0,84,9,0,West Indies,26,Kinrara Academy Oval,4,0,2006
Belfast,27,11,Ireland,1,83,8,0,Australia,14,"Civil Service Cricket Club, Stormont",20,1,2015
Fatullah,1,14,Bangladesh,1,46,3,0,Afghanistan,22,Khan Shaheb Osman Ali Stadium,2,1,2014
London,19,15,England,1,70,6,0,South Africa,20,Kennington Oval,7,0,2013
Mirpur,10,25,India,0,77,6,0,Pakistan,28,Shere Bangla National Stadium,4,0,2008
Port Elizabeth,27,13,South Africa,1,80,11,0,Pakistan,16,St George's Park,14,1,2013
Rajkot,18,20,India,1,45,10,0,South Africa,31,Saurashtra Cricket Association Stadium,4,1,2015
Napier,4,15,Pakistan,0,73,3,0,United Arab Emirates,19,McLean Park,5,0,2015
Centurion,19,-1,South Africa,0,29,8,0,New Zealand,16,SuperSport Park,4,0,2015
Mirpur,4,11,Bangladesh,0,38,3,0,West Indies,21,Shere Bangla National Stadium,1,1,2011
Napier,5,16,New Zealand,0,77,2,0,Bangladesh,20,McLean Park,8,0,2010
St Kitts,23,24,West Indies,1,76,5,0,India,28,"Warner Park, Basseterre",13,0,2006
Barbados,28,23,Australia,0,80,4,0,Sri Lanka,27,"Kensington Oval, Bridgetown",25,0,2007
Dublin,5,12,Ireland,0,85,7,0,Afghanistan,14,Clontarf Cricket Club Ground,9,0,2012
Abu Dhabi,6,17,Pakistan,1,52,11,0,South Africa,27,Sheikh Zayed Stadium,9,1,2013
Hobart,24,10,Australia,0,63,2,0,Sri Lanka,16,Bellerive Oval,10,1,2012
Mirpur,14,25,Bangladesh,0,70,10,0,New Zealand,30,Shere Bangla National Stadium,0,0,2010
Cape Town,24,14,South Africa,1,56,11,0,Pakistan,24,Newlands,11,1,2013
Abu Dhabi,3,12,New Zealand,1,32,11,0,Pakistan,30,Sheikh Zayed Stadium,11,1,2009
Christchurch,26,11,New Zealand,1,76,12,0,Sri Lanka,15,Hagley Oval,11,0,2015
Hamilton,22,14,New Zealand,0,64,1,0,India,20,Seddon Park,14,0,2014
Belfast,26,7,India,0,71,6,0,South Africa,11,"Civil Service Cricket Club, Stormont",20,1,2007
Christchurch,28,12,New Zealand,1,76,12,0,Sri Lanka,17,Hagley Oval,26,0,2015
Napier,20,12,New Zealand,1,68,2,1,England,15,McLean Park,7,0,2008
Mumbai,23,16,India,1,43,10,0,England,29,Wankhede Stadium,6,0,2011
Nottingham,8,9,England,1,55,7,0,Bangladesh,19,Trent Bridge,13,0,2010
St Lucia,23,22,West Indies,0,70,3,0,Australia,27,"Beausejour Stadium, Gros Islet",12,0,2012
Centurion,9,13,South Africa,1,58,2,0,England,22,SuperSport Park,10,0,2016
Perth,30,17,Australia,1,64,1,0,South Africa,24,Western Australia Cricket Association Ground,12,1,2009
St Kitts,14,22,Australia,0,80,3,0,Scotland,26,"Warner Park, Basseterre",10,0,2007
Jamaica,13,20,West Indies,0,59,3,0,Pakistan,28,"Sabina Park, Kingston",7,0,2007
Nagpur,28,14,India,0,56,10,0,Australia,24,"Vidarbha Cricket Association Stadium, Jamtha",2,0,2009
Cape Town,26,13,South Africa,0,70,11,0,India,18,Newlands,18,0,2006
Rajkot,11,7,India,1,30,1,0,England,22,Saurashtra Cricket Association Stadium,3,1,2013
Abu Dhabi,6,24,New Zealand,0,82,11,0,Pakistan,28,Sheikh Zayed Stadium,8,0,2009
Auckland,17,18,New Zealand,0,84,1,2,Sri Lanka,22,Eden Park,9,0,2015
Jamaica,23,21,West Indies,1,72,2,0,Ireland,26,"Sabina Park, Kingston",14,0,2014
Rajkot,14,12,India,0,39,11,0,England,26,Madhavrao Scindia Cricket Ground,5,0,2008
Mirpur,9,17,Bangladesh,0,61,11,0,Zimbabwe,24,Shere Bangla National Stadium,1,0,2015
Colombo,27,23,Sri Lanka,1,83,8,0,India,27,R Premadasa Stadium,9,1,2008
East London,14,19,South Africa,1,87,1,0,Sri Lanka,22,Buffalo Park,10,0,2012
Mirpur,18,25,Bangladesh,0,68,6,0,India,30,Shere Bangla National Stadium,1,0,2015
Wellington,31,13,New Zealand,0,79,1,0,India,18,Westpac Stadium,21,0,2014
Chester-le-Street,20,12,England,1,88,6,0,New Zealand,14,Riverside Ground,6,0,2015
Jamaica,23,21,West Indies,1,66,3,0,Ireland,27,"Sabina Park, Kingston",10,0,2007
Dunedin,8,7,New Zealand,1,76,2,0,Bangladesh,10,University Oval,4,0,2010
Mirpur,23,15,Bangladesh,1,83,1,0,Zimbabwe,17,Shere Bangla National Stadium,1,0,2009
Chittagong,18,24,Bangladesh,1,84,10,0,West Indies,28,Zahur Ahmed Chowdhury Stadium,2,0,2011
Grenada,16,23,Australia,1,72,4,0,Sri Lanka,28,"National Cricket Stadium, St George's",21,0,2007
Centurion,11,15,South Africa,0,76,12,2,India,21,SuperSport Park,7,0,2013
Brisbane,3,23,Australia,1,90,2,2,India,25,"Brisbane Cricket Ground, Woolloongabba",11,0,2008
Chennai,6,21,England,0,76,3,0,South Africa,26,"MA Chidambaram Stadium, Chepauk",6,0,2011
Hambantota,12,21,Sri Lanka,1,59,7,0,South Africa,30,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",22,1,2014
Colombo,25,22,Sri Lanka,0,80,7,0,Bangladesh,26,R Premadasa Stadium,9,0,2007
Nottingham,5,9,England,0,83,6,0,New Zealand,12,Trent Bridge,13,0,2013
Johannesburg,12,9,South Africa,1,35,2,0,England,24,New Wanderers Stadium,12,0,2016
St Vincent,16,22,West Indies,1,71,3,0,Australia,26,"Arnos Vale Ground, Kingstown",22,1,2012
Abu Dhabi,12,20,Pakistan,1,66,11,0,West Indies,26,Sheikh Zayed Stadium,10,0,2008
Hamilton,12,14,New Zealand,1,70,2,0,England,19,Seddon Park,5,0,2008
Christchurch,23,14,England,0,81,2,0,Scotland,18,Hagley Oval,12,0,2015
Auckland,5,21,New Zealand,0,87,2,0,Pakistan,23,Eden Park,16,0,2011
Bulawayo,22,5,Zimbabwe,0,26,10,0,Afghanistan,22,Queens Sports Club,21,1,2015
Birmingham,15,8,India,1,78,6,0,Pakistan,12,Edgbaston,18,0,2013
St Vincent,18,22,West Indies,1,76,3,0,Australia,26,"Arnos Vale Ground, Kingstown",15,0,2012
St Lucia,22,21,Canada,1,68,3,0,New Zealand,26,"Beausejour Stadium, Gros Islet",16,1,2007
Colombo,4,23,Sri Lanka,1,81,11,0,West Indies,26,R Premadasa Stadium,6,0,2015
Benoni,1,12,Canada,0,54,12,0,Netherlands,21,Willowmoore Park,14,1,2006
Durban,26,17,South Africa,0,80,8,0,New Zealand,20,Kingsmead,10,0,2015
Auckland,18,13,New Zealand,1,76,2,0,Australia,18,Eden Park,9,0,2007
Perth,28,11,Australia,0,26,1,0,New Zealand,34,Western Australia Cricket Association Ground,21,0,2007
Abu Dhabi,19,12,New Zealand,0,56,12,0,Pakistan,20,Sheikh Zayed Stadium,8,0,2014
Nottingham,15,10,England,0,75,9,0,Australia,16,Trent Bridge,19,1,2009
Benoni,22,6,South Africa,0,35,10,0,Zimbabwe,22,Willowmoore Park,17,0,2010
Chittagong,3,23,Bangladesh,1,72,11,0,Zimbabwe,28,Zohur Ahmed Chowdhury Stadium,2,0,2009
Abu Dhabi,11,10,England,0,27,11,0,Pakistan,30,Sheikh Zayed Stadium,18,1,2015
Karachi,6,25,India,1,73,7,0,Sri Lanka,31,National Stadium,22,1,2008
Kuala Lumpur,4,25,Hong Kong,0,80,5,0,United Arab Emirates,29,Kinrara Academy Oval,5,1,2014
Hamilton,13,16,New Zealand,1,73,3,0,Bangladesh,20,Seddon Park,7,0,2015
Dunedin,26,5,Afghanistan,1,71,2,0,Scotland,8,University Oval,7,0,2015
Mirpur,6,12,Bangladesh,0,40,3,0,Sri Lanka,23,Shere Bangla National Stadium,2,1,2014
Abu Dhabi,31,24,Australia,0,54,8,0,Pakistan,37,Sheikh Zayed Stadium,10,1,2012
Birmingham,12,11,England,0,77,7,0,Bangladesh,14,Edgbaston,11,0,2010
Guyana,22,24,West Indies,0,90,3,0,England,26,Providence Stadium,5,0,2009
Benoni,19,2,Afghanistan,0,30,4,0,Scotland,20,Willowmoore Park,10,0,2009
London,31,16,England,1,90,8,0,South Africa,18,Lord's,7,0,2008
Mount Maunganui,24,8,New Zealand,1,52,10,0,South Africa,16,Bay Oval,20,1,2014
Jamaica,16,21,West Indies,1,64,6,0,India,28,"Sabina Park, Kingston",13,0,2011
Mirpur,10,17,Bangladesh,1,66,1,0,Zimbabwe,14,Shere Bangla National Stadium,2,1,2009
Mirpur,14,26,India,1,69,6,0,Pakistan,29,Shere Bangla National Stadium,3,1,2008
Colombo,29,22,Sri Lanka,1,83,11,0,England,26,R Premadasa Stadium,8,0,2014
Mirpur,20,22,Bangladesh,1,61,3,0,Sri Lanka,28,Shere Bangla National Stadium,1,0,2012
Mirpur,2,13,India,0,40,3,0,Pakistan,23,Shere Bangla National Stadium,2,1,2014
Mirpur,9,16,Bangladesh,1,69,12,0,Zimbabwe,22,Shere Bangla National Stadium,0,0,2006
Mirpur,7,12,Bangladesh,1,52,12,0,West Indies,21,Shere Bangla National Stadium,14,1,2012
Bulawayo,21,-6,Zimbabwe,1,18,8,0,Bangladesh,17,Queens Sports Club,11,1,2011
Perth,1,20,Australia,0,59,2,0,New Zealand,30,Western Australia Cricket Association Ground,15,1,2009
St Kitts,4,22,West Indies,1,66,7,0,Australia,28,"Warner Park, Basseterre",20,1,2008
Perth,8,9,India,1,32,2,0,Sri Lanka,26,Western Australia Cricket Association Ground,24,0,2012
Napier,29,10,New Zealand,0,67,2,0,South Africa,14,McLean Park,8,1,2012
Wellington,13,8,New Zealand,0,66,3,0,Australia,14,Westpac Stadium,23,0,2010
St Kitts,16,23,Netherlands,1,79,3,0,South Africa,25,"Warner Park, Basseterre",9,1,2007
Delhi,6,6,India,0,98,1,0,Pakistan,7,Feroz Shah Kotla,6,0,2013
Kanpur,27,14,India,1,71,11,0,West Indies,18,Green Park,3,0,2013
Birmingham,11,11,England,0,92,9,2,Australia,12,Edgbaston,12,0,2013
Perth,1,13,Australia,0,49,2,0,England,26,Western Australia Cricket Association Ground,25,0,2015
Wellington,29,16,New Zealand,1,82,1,0,Sri Lanka,19,Westpac Stadium,12,1,2015
Mirpur,26,16,Bangladesh,0,71,11,0,Zimbabwe,22,Shere Bangla National Stadium,1,0,2014
Bulawayo,3,5,Zimbabwe,0,55,8,0,India,14,Queens Sports Club,17,1,2013
Johannesburg,23,10,Pakistan,1,69,9,0,West Indies,16,New Wanderers Stadium,24,0,2009
Mirpur,1,14,Bangladesh,0,45,12,0,Pakistan,24,Shere Bangla National Stadium,2,1,2011
Colombo,7,24,Sri Lanka,1,76,8,0,Pakistan,29,R Premadasa Stadium,16,1,2009
Colombo,13,23,Sri Lanka,0,80,10,0,England,27,R Premadasa Stadium,8,0,2007
Cardiff,14,8,England,1,78,9,0,Australia,12,Sophia Gardens,12,0,2013
Christchurch,29,11,New Zealand,1,71,1,0,Pakistan,17,AMI Stadium,17,1,2011
Belfast,24,10,Ireland,1,88,6,0,South Africa,12,"Civil Service Cricket Club, Stormont",8,1,2007
St Kitts,14,25,West Indies,0,78,7,0,New Zealand,28,"Warner Park, Basseterre",22,0,2012
St Kitts,18,22,Australia,0,73,3,0,Netherlands,28,"Warner Park, Basseterre",14,0,2007
Cape Town,11,13,South Africa,1,73,2,0,Pakistan,18,Newlands,12,0,2007
Southampton,14,9,England,0,69,6,0,New Zealand,15,The Rose Bowl,11,1,2015
Colombo,26,22,Sri Lanka,0,89,11,0,England,24,R Premadasa Stadium,11,0,2014
Amstelveen,7,14,Netherlands,1,70,7,0,Ireland,19,VRA Ground,11,1,2013
Mirpur,5,12,Bangladesh,0,57,12,0,West Indies,20,Shere Bangla National Stadium,1,1,2012
Cardiff,3,10,England,1,79,9,2,South Africa,14,Sophia Gardens,23,0,2008
Mirpur,19,20,Bangladesh,1,48,3,0,South Africa,30,Shere Bangla National Stadium,7,1,2011
Delhi,27,6,India,1,65,12,2,Sri Lanka,14,Feroz Shah Kotla,2,0,2009
London,1,13,England,0,77,7,0,West Indies,18,Lord's,21,0,2007
Mirpur,4,13,Bangladesh,0,45,3,0,Pakistan,23,Shere Bangla National Stadium,4,1,2014
Mirpur,27,18,Bangladesh,0,54,10,0,Zimbabwe,26,Shere Bangla National Stadium,2,1,2009
Nottingham,6,10,England,1,73,7,0,Sri Lanka,16,Trent Bridge,17,0,2011
Bulawayo,30,12,India,1,83,5,0,Sri Lanka,14,Queens Sports Club,13,0,2010
Kanpur,11,18,India,1,49,10,0,South Africa,29,Green Park,1,1,2015
Hobart,20,12,Australia,0,51,12,0,New Zealand,24,Bellerive Oval,18,0,2007
St Vincent,24,23,West Indies,1,75,6,0,Australia,29,"Arnos Vale Ground, Kingstown",20,1,2008
Jamaica,7,23,West Indies,0,64,7,0,New Zealand,30,"Sabina Park, Kingston",21,0,2012
Brisbane,30,19,Australia,0,69,1,0,England,24,"Brisbane Cricket Ground, Woolloongabba",14,0,2011
Cape Town,27,12,South Africa,0,59,11,0,England,22,Newlands,25,0,2009
Hambantota,26,22,Sri Lanka,0,68,8,0,Pakistan,30,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",16,0,2014
Kolkata,15,19,Ireland,1,64,3,0,South Africa,28,Eden Gardens,6,1,2011
Leeds,5,12,England,0,82,9,0,India,16,Headingley,5,0,2014
Southampton,5,14,England,0,70,9,0,Pakistan,20,The Rose Bowl,8,1,2006
Mirpur,22,11,Bangladesh,0,49,2,0,Sri Lanka,21,Shere Bangla National Stadium,1,1,2014
London,12,10,England,0,66,9,0,Australia,16,Lord's,9,1,2009
Mumbai,25,25,India,1,72,10,0,South Africa,30,Wankhede Stadium,5,1,2015
Nagpur,18,17,India,0,77,12,0,Sri Lanka,22,"Vidarbha Cricket Association Stadium, Jamtha",5,1,2009
London,29,12,England,0,72,6,0,Australia,17,Lord's,20,0,2012
Hamilton,10,15,India,1,68,3,0,Ireland,19,Seddon Park,6,0,2015
Napier,1,13,New Zealand,0,67,2,0,Pakistan,18,McLean Park,8,1,2011
Abu Dhabi,17,14,New Zealand,0,63,12,0,Pakistan,20,Sheikh Zayed Stadium,10,0,2014
Mirpur,18,19,India,1,53,3,0,Pakistan,26,Shere Bangla National Stadium,1,0,2012
Antigua,13,24,West Indies,0,75,6,0,India,28,"Sir Vivian Richards Stadium, North Sound",17,0,2011
Birmingham,27,9,England,0,77,8,0,India,13,Edgbaston,12,0,2007
Wellington,1,15,England,0,75,3,0,Sri Lanka,21,Westpac Stadium,28,1,2015
Manchester,8,7,England,1,77,9,0,Australia,12,Old Trafford,12,1,2013
Kolkata,18,20,Ireland,1,65,3,0,Netherlands,28,Eden Gardens,18,0,2011
Johannesburg,17,6,South Africa,0,43,3,0,Pakistan,20,New Wanderers Stadium,12,0,2013
Chester-le-Street,3,13,England,1,85,9,2,India,16,Riverside Ground,9,0,2011
Kolkata,8,18,India,1,81,2,2,Sri Lanka,22,Eden Gardens,4,0,2007
Karachi,28,25,Bangladesh,0,70,6,0,India,32,National Stadium,15,1,2008
Jaipur,2,13,South Africa,0,44,11,0,West Indies,25,Sawai Mansingh Stadium,8,1,2006
Ahmedabad,21,10,Australia,0,42,2,0,Zimbabwe,23,"Sardar Patel Stadium, Motera",8,0,2011
St Kitts,24,22,Australia,0,72,3,0,South Africa,27,"Warner Park, Basseterre",15,0,2007
Hobart,11,6,Scotland,1,50,3,0,Sri Lanka,16,Bellerive Oval,18,1,2015
Ayr,16,11,Scotland,0,84,8,0,Afghanistan,14,Cambusdoon New Ground,4,1,2010
Belfast,1,13,India,1,88,7,0,South Africa,15,"Civil Service Cricket Club, Stormont",14,0,2007
Mount Maunganui,28,8,Canada,0,47,1,0,Netherlands,16,Bay Oval,13,1,2014
Colombo,1,21,Sri Lanka,1,69,3,0,Kenya,28,R Premadasa Stadium,16,0,2011
Southampton,3,7,England,1,69,9,0,Australia,11,The Rose Bowl,5,1,2015
Chittagong,15,27,Bangladesh,1,87,7,0,South Africa,29,Zahur Ahmed Chowdhury Stadium,7,0,2015
Napier,28,10,New Zealand,0,58,12,0,Bangladesh,18,McLean Park,11,0,2007
Chennai,17,22,England,0,72,3,0,West Indies,28,"MA Chidambaram Stadium, Chepauk",7,0,2011
Perth,3,10,Australia,0,37,2,0,West Indies,26,Western Australia Cricket Association Ground,14,0,2013
Jaipur,21,17,Australia,1,59,10,0,England,26,Sawai Mansingh Stadium,8,0,2006
Lahore,26,7,Pakistan,0,23,5,0,Zimbabwe,34,Gaddafi Stadium,15,0,2015
Johannesburg,3,10,New Zealand,1,67,10,0,Pakistan,16,New Wanderers Stadium,16,0,2009
Belfast,27,11,Ireland,1,85,8,0,England,13,"Civil Service Cricket Club, Stormont",16,1,2009
Kochi,15,18,India,0,65,1,0,England,27,Nehru Stadium,3,0,2013
Chittagong,5,22,Bangladesh,1,81,3,0,England,26,Zohur Ahmed Chowdhury Stadium,14,1,2010
London,31,8,England,1,63,5,0,Sri Lanka,14,Lord's,4,1,2014
St Lucia,20,21,Kenya,1,76,3,0,New Zealand,27,"Beausejour Stadium, Gros Islet",10,1,2007
Trinidad,10,22,West Indies,1,73,4,0,Sri Lanka,28,"Queen's Park Oval, Port of Spain",7,0,2008
Colombo,26,23,Sri Lanka,1,74,3,0,England,28,R Premadasa Stadium,8,0,2011
Wellington,20,14,New Zealand,1,81,2,0,England,17,Westpac Stadium,11,0,2015
