City,Day,DewPoint,FirstTeam,FirstToBat,Humidity,Month,Result,SecondTeam,Temp,Venue,WindSpeed,Winner,Year
Grenada,10,23,West Indies,1,76,4,0,South Africa,28,"National Cricket Stadium, St George's",20,1,2007
Bulawayo,21,-0,Zimbabwe,0,23,8,0,South Africa,20,Queens Sports Club,5,1,2014
Hobart,18,7,Australia,0,58,1,0,South Africa,16,Bellerive Oval,11,0,2009
Colombo,8,17,Sri Lanka,0,61,2,0,India,26,R Premadasa Stadium,11,0,2009
Hamilton,3,19,New Zealand,1,73,2,0,Pakistan,23,Seddon Park,10,1,2011
Fatullah,3,19,Bangladesh,1,58,11,0,New Zealand,26,Khan Shaheb Osman Ali Stadium,0,0,2013
St Lucia,18,21,Canada,1,64,3,0,England,28,"Beausejour Stadium, Gros Islet",18,1,2007
Mirpur,10,24,Bangladesh,0,63,5,0,India,30,Shere Bangla National Stadium,1,1,2007
Hobart,14,9,Australia,0,49,1,0,New Zealand,20,Bellerive Oval,19,0,2007
Abu Dhabi,15,15,England,0,71,2,0,Pakistan,20,Sheikh Zayed Stadium,7,0,2012
Chennai,30,25,India,0,86,12,0,Pakistan,26,"MA Chidambaram Stadium, Chepauk",5,1,2012
St Lucia,23,24,West Indies,0,72,4,0,Pakistan,29,"Beausejour Stadium, Gros Islet",6,1,2011
London,3,9,England,1,49,7,0,Australia,20,Lord's,12,1,2010
London,7,9,Pakistan,0,65,6,0,West Indies,14,Kennington Oval,13,1,2013
Wellington,7,15,New Zealand,1,78,1,0,West Indies,19,Westpac Stadium,36,0,2009
Ayr,12,12,Scotland,1,85,8,2,Kenya,15,Cambusdoon New Ground,9,0,2008
London,20,10,England,1,64,6,0,Sri Lanka,18,Kennington Oval,17,1,2006
Southampton,21,11,England,0,80,8,0,India,14,The Rose Bowl,20,0,2007
Auckland,6,11,New Zealand,1,69,1,0,Sri Lanka,17,Eden Park,17,1,2007
Mirpur,10,11,India,1,48,1,0,Sri Lanka,20,Shere Bangla National Stadium,2,0,2010
Delhi,28,8,Netherlands,1,57,2,0,West Indies,16,Feroz Shah Kotla,13,1,2011
London,30,13,England,1,62,6,0,Australia,21,Kennington Oval,12,1,2010
Dublin,6,7,Ireland,1,80,5,0,Sri Lanka,10,Clontarf Cricket Club Ground,20,1,2014
Mirpur,11,18,Bangladesh,0,62,11,0,Zimbabwe,24,Shere Bangla National Stadium,0,0,2015
Colombo,19,23,Australia,0,74,3,0,Pakistan,28,R Premadasa Stadium,8,1,2011
Delhi,7,11,Canada,1,55,3,0,Kenya,20,Feroz Shah Kotla,11,0,2011
Auckland,24,15,New Zealand,1,82,3,0,South Africa,18,Eden Park,10,0,2015
St Lucia,15,23,West Indies,1,76,4,2,Sri Lanka,26,"Beausejour Stadium, Gros Islet",17,0,2008
Grenada,27,24,West Indies,1,82,6,0,Australia,28,"National Cricket Stadium, St George's",17,1,2008
Trinidad,28,23,West Indies,0,74,5,0,India,28,"Queen's Park Oval, Port of Spain",11,0,2006
Brisbane,21,22,India,1,83,2,0,Sri Lanka,26,"Brisbane Cricket Ground, Woolloongabba",13,1,2012
Cardiff,30,11,England,0,83,8,2,Pakistan,13,Sophia Gardens,12,0,2006
London,31,10,England,0,68,5,0,New Zealand,16,Lord's,9,1,2013
Chennai,20,23,India,0,76,3,0,West Indies,27,"MA Chidambaram Stadium, Chepauk",8,0,2011
Rajkot,11,15,India,1,60,2,0,Sri Lanka,22,Madhavrao Scindia Cricket Ground,13,1,2007
Mirpur,19,13,Bangladesh,1,47,2,0,India,22,Shere Bangla National Stadium,1,1,2011
Bulawayo,19,-0,Zimbabwe,1,29,8,0,South Africa,18,Queens Sports Club,11,1,2014
Bangalore,6,19,Africa XI,1,73,6,0,Asia XI,26,M Chinnaswamy Stadium,9,1,2007
Chennai,9,23,Africa XI,1,57,6,0,Asia XI,34,"MA Chidambaram Stadium, Chepauk",9,1,2007
Colombo,14,23,Sri Lanka,1,74,9,0,India,28,R Premadasa Stadium,13,1,2009
Southampton,9,8,England,0,62,9,0,Australia,14,The Rose Bowl,14,1,2009
Abu Dhabi,8,16,Pakistan,1,55,11,0,South Africa,26,Sheikh Zayed Stadium,8,1,2013
Leeds,1,13,England,0,66,7,0,Sri Lanka,20,Headingley,9,1,2006
Ahmedabad,24,17,South Africa,0,53,10,0,Sri Lanka,27,"Sardar Patel Stadium, Motera",4,0,2006
Grenada,22,25,West Indies,0,84,8,0,Bangladesh,27,"National Cricket Stadium, St George's",20,0,2014
Dublin,26,7,Ireland,0,71,5,0,Pakistan,13,Clontarf Cricket Club Ground,16,1,2013
Dublin,20,8,Ireland,0,81,9,0,Canada,10,Clontarf Cricket Club Ground,17,0,2011
Antigua,8,22,Australia,1,73,4,0,England,27,"Sir Vivian Richards Stadium, North Sound",20,0,2007
Mirpur,21,24,Bangladesh,1,64,6,0,India,30,Shere Bangla National Stadium,5,0,2015
Abu Dhabi,27,8,Australia,0,19,4,0,Pakistan,34,Sheikh Zayed Stadium,15,0,2009
Mirpur,15,21,Bangladesh,0,59,10,0,West Indies,29,Shere Bangla National Stadium,0,1,2011
Colombo,7,23,Sri Lanka,1,82,12,0,England,28,R Premadasa Stadium,10,0,2014
Wellington,22,12,New Zealand,1,79,1,0,Pakistan,16,Westpac Stadium,19,0,2011
Mirpur,16,12,Bangladesh,1,47,3,0,India,20,Shere Bangla National Stadium,1,0,2012
Auckland,15,14,New Zealand,0,74,2,0,England,20,Eden Park,18,1,2008
Mirpur,8,14,Bangladesh,1,51,12,0,West Indies,25,Shere Bangla National Stadium,0,0,2012
Bristol,24,9,England,1,75,5,0,West Indies,14,County Ground,10,0,2009
Southampton,16,4,England,1,65,9,0,Australia,12,The Rose Bowl,15,1,2013
Chester-le-Street,7,14,England,1,94,7,0,Australia,16,Riverside Ground,8,0,2012
Chittagong,21,19,Bangladesh,0,68,11,0,Zimbabwe,24,Zahur Ahmed Chowdhury Stadium,1,0,2014
London,4,8,England,1,63,9,0,Australia,14,Kennington Oval,20,1,2009
Mumbai,13,11,Canada,1,34,3,0,New Zealand,28,Wankhede Stadium,4,1,2011
Karachi,21,6,Pakistan,1,37,1,0,Sri Lanka,22,National Stadium,11,1,2009
Wellington,31,16,New Zealand,1,89,1,0,Pakistan,18,Westpac Stadium,18,0,2015
Bulawayo,19,2,Zimbabwe,0,46,8,0,Bangladesh,15,Queens Sports Club,12,1,2011
Perth,10,13,Australia,0,39,2,0,Sri Lanka,31,Western Australia Cricket Association Ground,18,0,2012
Chester-le-Street,25,10,England,1,86,5,0,Sri Lanka,12,Riverside Ground,9,1,2014
Mumbai,18,18,New Zealand,1,52,3,0,Sri Lanka,27,Wankhede Stadium,5,1,2011
