City,Day,FirstTeam,FirstToBat,IndianPlayer1,IndianPlayer10,IndianPlayer11,IndianPlayer2,IndianPlayer3,IndianPlayer4,IndianPlayer5,IndianPlayer6,IndianPlayer7,IndianPlayer8,IndianPlayer9,Month,OppositePlayer1,OppositePlayer10,OppositePlayer11,OppositePlayer2,OppositePlayer3,OppositePlayer4,OppositePlayer5,OppositePlayer6,OppositePlayer7,OppositePlayer8,OppositePlayer9,Result,SecondTeam,Venue,Winner,Year
Ranchi,19,India,1,B Kumar,Shami Ahmed,AM Rahane,MS Dhoni,I Sharma,V Kohli,G Gambhir,RA Jadeja,R Ashwin,SK Raina,Yuvraj Singh,1,C Kieswetter,KP Pietersen,JE Root,JW Dernbach,TT Bresnan,SR Patel,IR Bell,JC Tredwell,ST Finn,EJG Morgan,AN Cook,0,England,JSCA International Stadium Complex,0,2013
Ranchi,23,India,1,JD Unadkat,,,RG Sharma,S Dhawan,R Ashwin,RA Jadeja,SK Raina,Yuvraj Singh,Mohammed Shami,R Vinay Kumar,10,GJ Maxwell,MG Johnson,,JP Faulkner,CJ McKay,GJ Bailey,AJ Finch,BJ Haddin,AC Voges,PJ Hughes,SR Watson,2,Australia,JSCA International Stadium Complex,0,2013
Delhi,11,India,0,AT Rayudu,Mohammed Shami,AM Rahane,B Kumar,A Mishra,MS Dhoni,V Kohli,S Dhawan,RA Jadeja,UT Yadav,SK Raina,10,R Rampaul,DJG Sammy,JE Taylor,DM Bravo,SJ Benn,D Ramdin,DR Smith,AD Russell,DJ Bravo,MN Samuels,KA Pollard,0,West Indies,Feroz Shah Kotla,0,2014
Cuttack,29,India,1,VR Aaron,SK Raina,R Vinay Kumar,V Sehwag,V Kohli,G Gambhir,RG Sharma,R Ashwin,UT Yadav,RA Jadeja,PA Patel,11,DM Bravo,DJG Sammy,DP Hyatt,MN Samuels,D Ramdin,AB Barath,LMP Simmons,KAJ Roach,AD Russell,KA Pollard,A Martin,0,West Indies,Barabati Stadium,0,2011
Kochi,21,India,1,B Kumar,Yuvraj Singh,Mohammed Shami,MS Dhoni,V Kohli,JD Unadkat,RG Sharma,S Dhawan,RA Jadeja,R Ashwin,SK Raina,11,R Rampaul,MN Samuels,DJG Sammy,DM Bravo,N Deonarine,CH Gayle,SP Narine,LMP Simmons,JO Holder,DJ Bravo,J Charles,0,West Indies,Nehru Stadium,0,2013
Johannesburg,30,India,1,A Mishra,AM Nayar,,P Kumar,MS Dhoni,R Dravid,A Nehra,G Gambhir,V Kohli,KD Karthik,Harbhajan Singh,9,DS Smith,DJG Sammy,NO Miller,KOA Powell,FL Reifer,ADS Fletcher,DE Bernard,RT Crandon,GC Tonge,TM Dowlin,KAJ Roach,0,West Indies,New Wanderers Stadium,0,2009
Chennai,22,India,0,B Kumar,SK Raina,AM Rahane,A Mishra,MS Dhoni,V Kohli,MM Sharma,AR Patel,RG Sharma,S Dhawan,Harbhajan Singh,10,DW Steyn,Imran Tahir,DA Miller,AB de Villiers,K Rabada,AM Phangiso,F du Plessis,F Behardien,Q de Kock,HM Amla,CH Morris,0,South Africa,"MA Chidambaram Stadium, Chepauk",0,2015
Karachi,2,Pakistan,1,PP Chawla,Yuvraj Singh,YK Pathan,P Kumar,MS Dhoni,V Sehwag,I Sharma,G Gambhir,RG Sharma,IK Pathan,SK Raina,7,Salman Butt,Misbah-ul-Haq,,Saeed Ajmal,Sohail Tanvir,Younis Khan,Nasir Jamshed,Iftikhar Anjum,Shahid Afridi,Mohammad Yousuf,Abdur Rauf,0,India,National Stadium,0,2008
Kolkata,3,India,1,B Kumar,Yuvraj Singh,AB Dinda,MS Dhoni,I Sharma,V Sehwag,G Gambhir,V Kohli,R Ashwin,RA Jadeja,SK Raina,1,Saeed Ajmal,Mohammad Irfan,Misbah-ul-Haq,Kamran Akmal,Younis Khan,Nasir Jamshed,Umar Gul,Junaid Khan,Mohammad Hafeez,Azhar Ali,Shoaib Malik,0,Pakistan,Eden Gardens,1,2013
Bristol,24,England,1,AB Agarkar,Yuvraj Singh,SR Tendulkar,PP Chawla,RP Singh,RR Powar,MS Dhoni,R Dravid,KD Karthik,SC Ganguly,MM Patel,8,SCJ Broad,AN Cook,KP Pietersen,MJ Prior,IR Bell,CT Tremlett,RS Bopara,A Flintoff,PD Collingwood,JM Anderson,AD Mascarenhas,0,India,County Ground,1,2007
