City,Day,FirstTeam,FirstToBat,IndianPlayer1,IndianPlayer10,IndianPlayer11,IndianPlayer2,IndianPlayer3,IndianPlayer4,IndianPlayer5,IndianPlayer6,IndianPlayer7,IndianPlayer8,IndianPlayer9,Month,OppositePlayer1,OppositePlayer10,OppositePlayer11,OppositePlayer2,OppositePlayer3,OppositePlayer4,OppositePlayer5,OppositePlayer6,OppositePlayer7,OppositePlayer8,OppositePlayer9,Result,SecondTeam,Venue,Winner,Year
Nagpur,12,India,0,MS Dhoni,Yuvraj Singh,SR Tendulkar,V Sehwag,V Kohli,G Gambhir,Z Khan,A Nehra,Harbhajan Singh,MM Patel,YK Pathan,3,DW Steyn,F du Plessis,JH Kallis,JP Duminy,M Morkel,RJ Peterson,AB de Villiers,J Botha,HM Amla,MN van Wyk,GC Smith,0,South Africa,"Vidarbha Cricket Association Stadium, Jamtha",1,2011
Bangalore,2,India,0,B Kumar,Mohammed Shami,R Vinay Kumar,MS Dhoni,V Kohli,RG Sharma,S Dhawan,RA Jadeja,R Ashwin,SK Raina,Yuvraj Singh,11,GJ Maxwell,AC Voges,NM Coulter-Nile,JP Faulkner,CJ McKay,XJ Doherty,AJ Finch,BJ Haddin,GJ Bailey,PJ Hughes,SR Watson,0,Australia,M Chinnaswamy Stadium,0,2013
Vadodara,4,India,1,A Nehra,,,Z Khan,G Gambhir,V Kohli,R Ashwin,RA Jadeja,MM Patel,YK Pathan,M Vijay,12,NL McCullum,DL Vettori,BB McCullum,AJ McKay,LRPL Taylor,KS Williamson,KD Mills,MJ Guptill,SB Styris,GJ Hopkins,JEC Franklin,0,New Zealand,Reliance Stadium,0,2010
Auckland,14,India,1,MS Dhoni,Mohammed Shami,AM Rahane,V Kohli,MM Sharma,RG Sharma,S Dhawan,R Ashwin,RA Jadeja,UT Yadav,SK Raina,3,T Panyangara,CR Ervine,TL Chatara,BRM Taylor,SC Williams,RW Chakabva,CJ Chibhabha,Sikandar Raza,H Masakadza,T Mupariwa,SF Mire,0,Zimbabwe,Eden Park,0,2015
Chandigarh,2,India,1,P Kumar,Yuvraj Singh,SR Tendulkar,MS Dhoni,I Sharma,A Nehra,V Sehwag,V Kohli,Harbhajan Singh,RA Jadeja,SK Raina,11,RT Ponting,CL White,MEK Hussey,PM Siddle,GA Manou,MC Henriques,NM Hauritz,SR Watson,DE Bollinger,SE Marsh,MG Johnson,0,Australia,"Punjab Cricket Association Stadium, Mohali",1,2009
Mirpur,7,Bangladesh,0,MS Dhoni,Yuvraj Singh,S Sreesanth,V Sehwag,A Nehra,Z Khan,G Gambhir,V Kohli,Harbhajan Singh,RA Jadeja,SK Raina,1,Mohammad Ashraful,Raqibul Hasan,Shakib Al Hasan,Tamim Iqbal,Mushfiqur Rahim,Mahmudullah,Naeem Islam,Syed Rasel,Imrul Kayes,Abdur Razzak,Rubel Hossain,0,India,Shere Bangla National Stadium,1,2010
Nagpur,14,India,1,SR Tendulkar,Yuvraj Singh,S Sreesanth,MS Dhoni,R Dravid,Z Khan,M Kartik,RV Uthappa,SC Ganguly,Harbhajan Singh,IK Pathan,10,RT Ponting,MG Johnson,GB Hogg,BJ Hodge,MJ Clarke,BJ Haddin,B Lee,NW Bracken,A Symonds,AC Gilchrist,JR Hopes,0,Australia,Vidarbha Cricket Association Ground,1,2007
Bangalore,23,India,0,MS Dhoni,SR Tendulkar,,V Sehwag,I Sharma,G Gambhir,Z Khan,Harbhajan Singh,MM Patel,YK Pathan,Yuvraj Singh,11,OA Shah,KP Pietersen,SR Patel,GP Swann,SCJ Broad,MJ Prior,IR Bell,RS Bopara,A Flintoff,PD Collingwood,JM Anderson,0,England,M Chinnaswamy Stadium,0,2008
Colombo,5,Sri Lanka,1,P Kumar,YK Pathan,SK Raina,MS Dhoni,PP Ojha,V Sehwag,I Sharma,G Gambhir,RG Sharma,Yuvraj Singh,IK Pathan,2,KMDN Kulasekara,MF Maharoof,DPMD Jayawardene,SHT Kandamby,TM Dilshan,ST Jayasuriya,M Muralitharan,KC Sangakkara,CK Kapugedera,CRD Fernando,AD Mathews,0,India,R Premadasa Stadium,1,2009
Napier,19,New Zealand,0,B Kumar,Mohammed Shami,AM Rahane,MS Dhoni,I Sharma,V Kohli,RG Sharma,S Dhawan,R Ashwin,RA Jadeja,SK Raina,1,NL McCullum,AF Milne,TG Southee,JD Ryder,MJ McClenaghan,CJ Anderson,LRPL Taylor,KS Williamson,L Ronchi,MJ Guptill,BB McCullum,0,India,McLean Park,0,2014
Brisbane,15,Australia,1,MS Dhoni,UT Yadav,AM Rahane,MK Pandey,I Sharma,V Kohli,BB Sran,RG Sharma,S Dhawan,RA Jadeja,R Ashwin,1,GJ Maxwell,KW Richardson,,JP Faulkner,SPD Smith,GJ Bailey,AJ Finch,JW Hastings,JS Paris,SE Marsh,SM Boland,0,India,"Brisbane Cricket Ground, Woolloongabba",0,2016
Cardiff,16,England,1,RP Singh,R Vinay Kumar,AM Rahane,MS Dhoni,R Dravid,V Kohli,RA Jadeja,PA Patel,R Ashwin,MM Patel,SK Raina,9,GP Swann,AN Cook,SR Patel,C Kieswetter,JW Dernbach,TT Bresnan,IJL Trott,JM Bairstow,IR Bell,ST Finn,RS Bopara,0,India,Sophia Gardens,0,2011
Mirpur,15,Bangladesh,0,A Mishra,CA Pujara,,AT Rayudu,MM Sharma,AR Patel,RV Uthappa,UT Yadav,SK Raina,Parvez Rasool,AM Rahane,6,Mashrafe Mortaza,Anamul Haque,Shakib Al Hasan,Al-Amin Hossain,Tamim Iqbal,Mushfiqur Rahim,Mahmudullah,Ziaur Rahman,Abdur Razzak,Mominul Haque,Nasir Hossain,0,India,Shere Bangla National Stadium,1,2014
Fatullah,26,Bangladesh,0,B Kumar,Mohammed Shami,AM Rahane,AT Rayudu,VR Aaron,V Kohli,RG Sharma,KD Karthik,S Dhawan,R Ashwin,RA Jadeja,2,Mashrafe Mortaza,Anamul Haque,Shamsur Rahman,Mushfiqur Rahim,Naeem Islam,Ziaur Rahman,Rubel Hossain,Abdur Razzak,Mominul Haque,Sohag Gazi,Nasir Hossain,0,India,Khan Shaheb Osman Ali Stadium,1,2014
Kanpur,20,India,1,MS Dhoni,Yuvraj Singh,SK Raina,I Sharma,V Sehwag,Z Khan,G Gambhir,RG Sharma,Harbhajan Singh,MM Patel,YK Pathan,11,OA Shah,KP Pietersen,SR Patel,GP Swann,SCJ Broad,MJ Prior,IR Bell,RS Bopara,A Flintoff,PD Collingwood,JM Anderson,0,England,Green Park,0,2008
Cardiff,20,India,1,B Kumar,SK Raina,,MS Dhoni,I Sharma,V Kohli,RG Sharma,S Dhawan,R Ashwin,UT Yadav,RA Jadeja,6,MDKJ Perera,AD Mathews,DPMD Jayawardene,HMRKB Herath,KMDN Kulasekara,TM Dilshan,HDRL Thirimanne,BMAJ Mendis,SL Malinga,KC Sangakkara,NLTC Perera,0,Sri Lanka,Sophia Gardens,0,2013
London,11,England,1,RP Singh,SK Raina,AM Rahane,P Kumar,MS Dhoni,R Dravid,V Kohli,RA Jadeja,PA Patel,MM Patel,R Ashwin,9,SCJ Broad,AN Cook,BA Stokes,GP Swann,C Kieswetter,IJL Trott,TT Bresnan,IR Bell,ST Finn,RS Bopara,JM Anderson,1,India,Lord's,0,2011
Bangalore,29,India,1,SR Tendulkar,,,RP Singh,RR Powar,Z Khan,G Gambhir,IK Pathan,Yuvraj Singh,S Sreesanth,,9,BJ Hodge,,,MJ Clarke,BJ Haddin,ML Hayden,B Lee,A Symonds,AC Gilchrist,JR Hopes,MG Johnson,2,Australia,M Chinnaswamy Stadium,0,2007
Colombo,12,Sri Lanka,0,SR Tendulkar,Yuvraj Singh,SK Raina,RP Singh,MS Dhoni,I Sharma,A Nehra,R Dravid,KD Karthik,Harbhajan Singh,YK Pathan,9,SHT Kandamby,BAW Mendis,DPMD Jayawardene,KMDN Kulasekara,TM Dilshan,T Thushara,SL Malinga,ST Jayasuriya,KC Sangakkara,CK Kapugedera,AD Mathews,0,India,R Premadasa Stadium,0,2009
Kuala Lumpur,14,India,0,AB Agarkar,SK Raina,SR Tendulkar,RP Singh,MS Dhoni,V Sehwag,R Dravid,Harbhajan Singh,M Kaif,MM Patel,IK Pathan,9,CH Gayle,,,BC Lara,FH Edwards,DR Smith,DJ Bravo,RR Sarwan,IDR Bradshaw,JE Taylor,S Chanderpaul,0,West Indies,Kinrara Academy Oval,1,2006
Brisbane,20,England,1,AT Rayudu,STR Binny,AM Rahane,B Kumar,MS Dhoni,V Kohli,AR Patel,S Dhawan,UT Yadav,SK Raina,Mohammed Shami,1,SCJ Broad,,,IR Bell,ST Finn,MM Ali,JM Anderson,JWA Taylor,CR Woakes,,,0,India,"Brisbane Cricket Ground, Woolloongabba",0,2015
Kolkata,24,India,1,V Sehwag,SK Raina,SR Tendulkar,A Nehra,Z Khan,I Sharma,G Gambhir,V Kohli,KD Karthik,Harbhajan Singh,RA Jadeja,12,S Randiv,NLTC Perera,DPMD Jayawardene,TT Samaraweera,SHT Kandamby,RAS Lakmal,TM Dilshan,SL Malinga,ST Jayasuriya,WU Tharanga,KC Sangakkara,0,Sri Lanka,Eden Gardens,0,2009
Visakhapatnam,2,India,1,VR Aaron,SK Raina,R Vinay Kumar,V Sehwag,V Kohli,G Gambhir,RG Sharma,R Ashwin,UT Yadav,RA Jadeja,PA Patel,12,R Rampaul,DJG Sammy,DP Hyatt,DM Bravo,D Ramdin,AB Barath,LMP Simmons,KAJ Roach,AD Russell,MN Samuels,KA Pollard,0,West Indies,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0,2011
Nagpur,30,India,1,B Kumar,Yuvraj Singh,Mohammed Shami,A Mishra,MS Dhoni,V Kohli,RG Sharma,S Dhawan,R Ashwin,RA Jadeja,SK Raina,10,GJ Maxwell,SR Watson,MG Johnson,JP Faulkner,CJ McKay,GJ Bailey,AJ Finch,BJ Haddin,XJ Doherty,AC Voges,PJ Hughes,0,Australia,"Vidarbha Cricket Association Stadium, Jamtha",0,2013
Kuala Lumpur,16,Australia,0,AB Agarkar,SR Tendulkar,,RP Singh,V Sehwag,R Dravid,Harbhajan Singh,MM Patel,IK Pathan,SK Raina,Yuvraj Singh,9,RT Ponting,GB Hogg,PA Jaques,MJ Clarke,BJ Haddin,DR Martyn,SR Watson,MJ Cosgrove,GD McGrath,SR Clark,MG Johnson,2,India,Kinrara Academy Oval,0,2006
Trinidad,19,Bermuda,1,AB Agarkar,Yuvraj Singh,SR Tendulkar,MS Dhoni,V Sehwag,R Dravid,Z Khan,RV Uthappa,SC Ganguly,MM Patel,A Kumble,3,DCC Borden,KAD Hurdle,IH Romaine,SD Outerbridge,DL Hemp,JJ Tucker,RDM Leverock,LOB Cann,MO Jones,DA Minors,OL Pitcher,0,India,"Queen's Park Oval, Port of Spain",1,2007
Hyderabad,9,India,1,AT Rayudu,SK Raina,AM Rahane,I Sharma,V Kohli,AR Patel,WP Saha,S Dhawan,R Ashwin,UT Yadav,DS Kulkarni,11,MDKJ Perera,S Prasanna,DPMD Jayawardene,KMDN Kulasekara,TM Dilshan,PLS Gamage,KC Sangakkara,NLTC Perera,AD Mathews,SMA Priyanjan,PC de Silva,0,Sri Lanka,"Rajiv Gandhi International Stadium, Uppal",0,2014
Hambantota,24,Sri Lanka,1,PP Ojha,IK Pathan,SK Raina,MS Dhoni,V Sehwag,V Kohli,G Gambhir,Z Khan,RG Sharma,R Ashwin,UT Yadav,7,HMRKB Herath,,,TM Dilshan,SL Malinga,WU Tharanga,NLTC Perera,AD Mathews,LD Chandimal,I Udana,,0,India,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",0,2012
Jamaica,30,West Indies,1,B Kumar,UT Yadav,SK Raina,MS Dhoni,I Sharma,V Kohli,RG Sharma,KD Karthik,S Dhawan,RA Jadeja,R Ashwin,6,DS Smith,KA Pollard,DJG Sammy,DM Bravo,CH Gayle,D Ramdin,SP Narine,TL Best,KAJ Roach,J Charles,MN Samuels,0,India,"Sabina Park, Kingston",0,2013
Gwalior,15,India,1,RP Singh,SR Tendulkar,,MS Dhoni,V Sehwag,Z Khan,G Gambhir,SC Ganguly,Harbhajan Singh,IK Pathan,Yuvraj Singh,11,Salman Butt,Mohammad Yousuf,Misbah-ul-Haq,Sohail Tanvir,Kamran Akmal,Younis Khan,Shoaib Akhtar,Iftikhar Anjum,Umar Gul,Shoaib Malik,Shahid Afridi,0,Pakistan,Captain Roop Singh Stadium,0,2007
St Lucia,5,West Indies,0,A Nehra,,,I Sharma,,,,,,,,7,RS Morton,,,RR Sarwan,CH Gayle,,,,,,,2,India,"Beausejour Stadium, Gros Islet",0,2009
Karachi,25,Hong Kong,1,PP Chawla,MS Gony,YK Pathan,RP Singh,P Kumar,MS Dhoni,V Sehwag,G Gambhir,RV Uthappa,RG Sharma,SK Raina,6,JPR Lamsam,Munir Dar,Irfan Ahmed,Afzaal Haider,Skhawat Ali,JJ Atkinson,CK Kruger,Najeeb Amar,Tabarak Dar,KH Butt,Nadeem Ahmed,0,India,National Stadium,1,2008
Trinidad,11,India,1,B Kumar,SK Raina,R Vinay Kumar,MS Dhoni,I Sharma,V Kohli,RG Sharma,KD Karthik,S Dhawan,R Ashwin,RA Jadeja,7,MDKJ Perera,LD Chandimal,DPMD Jayawardene,HMRKB Herath,RMS Eranga,RAS Lakmal,HDRL Thirimanne,SL Malinga,WU Tharanga,KC Sangakkara,AD Mathews,0,Sri Lanka,"Queen's Park Oval, Port of Spain",0,2013
Brisbane,5,India,0,MS Dhoni,,,V Sehwag,G Gambhir,RG Sharma,Yuvraj Singh,SR Tendulkar,,,,2,TM Dilshan,,,SL Malinga,WPUJC Vaas,M Muralitharan,CK Kapugedera,ST Jayasuriya,MKDI Amerasinghe,,,2,Sri Lanka,"Brisbane Cricket Ground, Woolloongabba",0,2008
Guwahati,8,India,0,P Kumar,Yuvraj Singh,SR Tendulkar,MS Dhoni,V Sehwag,A Nehra,G Gambhir,Harbhajan Singh,RA Jadeja,MM Patel,SK Raina,11,RT Ponting,MEK Hussey,,CJ McKay,AC Voges,NM Hauritz,SR Watson,SE Marsh,CL White,MG Johnson,DE Bollinger,0,Australia,Nehru Stadium,1,2009
Mirpur,5,India,0,MS Dhoni,Yuvraj Singh,S Sreesanth,V Sehwag,V Kohli,G Gambhir,Z Khan,A Nehra,Harbhajan Singh,RA Jadeja,SK Raina,1,S Randiv,NLTC Perera,,TT Samaraweera,RAS Lakmal,T Thushara,SHT Kandamby,HDRL Thirimanne,UWMBCA Welegedara,WU Tharanga,KC Sangakkara,0,Sri Lanka,Shere Bangla National Stadium,1,2010
Trinidad,26,West Indies,1,AB Agarkar,Yuvraj Singh,S Sreesanth,RR Powar,MS Dhoni,R Dravid,V Sehwag,Harbhajan Singh,M Kaif,IK Pathan,SK Raina,5,RR Sarwan,IDR Bradshaw,,CH Gayle,BC Lara,CD Collymore,FH Edwards,DR Smith,WW Hinds,DJ Bravo,MN Samuels,0,India,"Queen's Park Oval, Port of Spain",0,2006
Belfast,29,India,1,PP Chawla,Yuvraj Singh,SR Tendulkar,RP Singh,RR Powar,MS Dhoni,I Sharma,R Dravid,Z Khan,KD Karthik,SC Ganguly,6,JP Duminy,A Nel,JH Kallis,AB de Villiers,CK Langeveldt,AJ Hall,MV Boucher,HH Gibbs,M Ntini,MS Tshabalala,MN van Wyk,0,South Africa,"Civil Service Cricket Club, Stormont",0,2007
Hamilton,28,New Zealand,1,AT Rayudu,STR Binny,AM Rahane,B Kumar,VR Aaron,MS Dhoni,V Kohli,RG Sharma,R Ashwin,RA Jadeja,Mohammed Shami,1,NL McCullum,TG Southee,,JD Ryder,HK Bennett,JDS Neesham,LRPL Taylor,KS Williamson,KD Mills,MJ Guptill,BB McCullum,0,India,Seddon Park,0,2014
Durban,8,South Africa,0,MS Dhoni,Mohammed Shami,AM Rahane,I Sharma,V Kohli,RG Sharma,S Dhawan,R Ashwin,UT Yadav,RA Jadeja,SK Raina,12,DW Steyn,VD Philander,DA Miller,JP Duminy,AB de Villiers,LL Tsotsobe,M Morkel,JH Kallis,Q de Kock,R McLaren,HM Amla,0,India,Kingsmead,0,2013
Birmingham,2,England,0,B Kumar,,,V Kohli,S Dhawan,R Ashwin,RA Jadeja,DS Kulkarni,SK Raina,Mohammed Shami,AM Rahane,9,AD Hales,CR Woakes,JE Root,JC Buttler,GS Ballance,ST Finn,EJG Morgan,MM Ali,JM Anderson,HF Gurney,AN Cook,0,India,Edgbaston,1,2014
London,8,England,1,PP Chawla,Yuvraj Singh,SR Tendulkar,RP Singh,RR Powar,MS Dhoni,R Dravid,G Gambhir,Z Khan,RV Uthappa,SC Ganguly,9,SCJ Broad,KP Pietersen,,MJ Prior,LJ Wright,IR Bell,A Flintoff,PD Collingwood,JM Anderson,MS Panesar,AD Mascarenhas,0,India,Lord's,0,2007
Port Elizabeth,21,South Africa,0,MS Dhoni,Yuvraj Singh,YK Pathan,A Nehra,Z Khan,V Kohli,RG Sharma,Harbhajan Singh,PA Patel,MM Patel,SK Raina,1,DW Steyn,GC Smith,F du Plessis,JP Duminy,AB de Villiers,RJ Peterson,LL Tsotsobe,M Morkel,J Botha,HM Amla,MN van Wyk,0,India,St George's Park,0,2011
Hyderabad,5,India,1,P Kumar,Yuvraj Singh,SR Tendulkar,MS Dhoni,V Sehwag,A Nehra,G Gambhir,Harbhajan Singh,RA Jadeja,MM Patel,SK Raina,11,RT Ponting,MEK Hussey,,CJ McKay,AC Voges,SR Watson,DE Bollinger,SE Marsh,BW Hilfenhaus,NM Hauritz,CL White,0,Australia,"Rajiv Gandhi International Stadium, Uppal",1,2009
Johannesburg,5,South Africa,0,B Kumar,Yuvraj Singh,Mohammed Shami,MS Dhoni,V Kohli,MM Sharma,RG Sharma,S Dhawan,R Ashwin,RA Jadeja,SK Raina,12,DW Steyn,HM Amla,DA Miller,JP Duminy,AB de Villiers,LL Tsotsobe,M Morkel,JH Kallis,Q de Kock,R McLaren,WD Parnell,0,India,New Wanderers Stadium,0,2013
Colombo,29,Sri Lanka,0,RP Singh,SK Raina,Yuvraj Singh,PP Ojha,MS Dhoni,V Kohli,Z Khan,G Gambhir,RG Sharma,MM Patel,IK Pathan,8,KMDN Kulasekara,BAW Mendis,DPMD Jayawardene,T Thushara,ST Jayasuriya,KC Sangakkara,CK Kapugedera,J Mubarak,ML Udawatte,CRD Fernando,SM Warnapura,0,India,R Premadasa Stadium,0,2008
Rajkot,15,India,0,P Kumar,SK Raina,SR Tendulkar,MS Dhoni,V Sehwag,V Kohli,G Gambhir,A Nehra,Z Khan,Harbhajan Singh,RA Jadeja,12,TT Samaraweera,AD Mathews,DPMD Jayawardene,SHT Kandamby,KMDN Kulasekara,TM Dilshan,UWMBCA Welegedara,ST Jayasuriya,WU Tharanga,KC Sangakkara,CRD Fernando,0,Sri Lanka,Madhavrao Scindia Cricket Ground,0,2009
Karachi,26,Pakistan,0,PP Chawla,Yuvraj Singh,SK Raina,RP Singh,P Kumar,MS Dhoni,I Sharma,V Sehwag,G Gambhir,RG Sharma,YK Pathan,6,Fawad Alam,Misbah-ul-Haq,,Salman Butt,Sohail Tanvir,Younis Khan,Iftikhar Anjum,Umar Gul,Shoaib Malik,Shahid Afridi,Mohammad Yousuf,0,India,National Stadium,1,2008
Hyderabad,14,India,0,P Kumar,R Vinay Kumar,AM Rahane,MS Dhoni,V Kohli,G Gambhir,RA Jadeja,PA Patel,R Ashwin,UT Yadav,SK Raina,10,GP Swann,KP Pietersen,SR Patel,C Kieswetter,JW Dernbach,TT Bresnan,IJL Trott,JM Bairstow,ST Finn,RS Bopara,AN Cook,0,England,"Rajiv Gandhi International Stadium, Uppal",0,2011
Perth,12,Australia,1,B Kumar,,,MS Dhoni,V Kohli,BB Sran,RG Sharma,S Dhawan,RA Jadeja,UT Yadav,R Ashwin,1,GJ Maxwell,SM Boland,,JP Faulkner,DA Warner,SPD Smith,MR Marsh,GJ Bailey,AJ Finch,JR Hazlewood,JS Paris,0,India,Western Australia Cricket Association Ground,0,2016
Perth,28,India,1,B Kumar,,,V Kohli,MM Sharma,RG Sharma,S Dhawan,R Ashwin,UT Yadav,RA Jadeja,,2,Khurram Khan,Amjad Javed,Amjad Ali,AR Berenger,Mohammad Tauqir,AM Guruge,Mohammad Naveed,Shaiman Anwar,Krishna Chandran,SP Patil,Rohan Mustafa,0,United Arab Emirates,Western Australia Cricket Association Ground,0,2015
Chandigarh,20,India,1,P Kumar,R Vinay Kumar,AM Rahane,MS Dhoni,V Kohli,G Gambhir,R Ashwin,RA Jadeja,UT Yadav,PA Patel,SK Raina,10,GP Swann,SR Patel,,IJL Trott,C Kieswetter,TT Bresnan,JW Dernbach,ST Finn,RS Bopara,AN Cook,KP Pietersen,0,England,"Punjab Cricket Association Stadium, Mohali",0,2011
Colombo,3,Sri Lanka,1,P Kumar,SR Tendulkar,YK Pathan,MS Dhoni,PP Ojha,V Sehwag,I Sharma,G Gambhir,Z Khan,SK Raina,Yuvraj Singh,2,KMDN Kulasekara,MF Maharoof,DPMD Jayawardene,SHT Kandamby,TM Dilshan,ST Jayasuriya,M Muralitharan,KC Sangakkara,CK Kapugedera,CRD Fernando,BAW Mendis,0,India,R Premadasa Stadium,1,2009
Cuttack,26,India,1,MS Dhoni,SR Tendulkar,,V Sehwag,I Sharma,Z Khan,RG Sharma,Harbhajan Singh,IK Pathan,SK Raina,Yuvraj Singh,11,OA Shah,SJ Harmison,,SCJ Broad,GP Swann,SR Patel,RS Bopara,A Flintoff,PD Collingwood,AN Cook,KP Pietersen,0,England,Barabati Stadium,0,2008
Indore,8,India,0,R Sharma,SK Raina,R Vinay Kumar,V Sehwag,V Kohli,G Gambhir,RG Sharma,RA Jadeja,PA Patel,R Ashwin,A Mithun,12,R Rampaul,DJG Sammy,DP Hyatt,KOA Powell,MN Samuels,D Ramdin,SP Narine,LMP Simmons,KAJ Roach,AD Russell,KA Pollard,0,West Indies,Holkar Cricket Stadium,0,2011
Kuala Lumpur,22,Australia,0,AB Agarkar,SK Raina,SR Tendulkar,RP Singh,D Mongia,MS Dhoni,V Sehwag,R Dravid,Harbhajan Singh,M Kaif,MM Patel,9,RT Ponting,MEK Hussey,GB Hogg,BJ Haddin,ML Hayden,DR Martyn,B Lee,A Symonds,SM Katich,GD McGrath,SR Clark,0,India,Kinrara Academy Oval,0,2006
Mirpur,12,Bangladesh,0,PP Chawla,SK Raina,,RP Singh,P Kumar,V Sehwag,G Gambhir,RG Sharma,IK Pathan,YK Pathan,Yuvraj Singh,6,Mashrafe Mortaza,Dolar Mahmud,Shahriar Nafees,Mohammad Ashraful,Tamim Iqbal,Mushfiqur Rahim,Mahmudullah,Abdur Razzak,Alok Kapali,Raqibul Hasan,Farhad Reza,0,India,Shere Bangla National Stadium,1,2008
Visakhapatnam,24,India,0,B Kumar,Yuvraj Singh,Mohammed Shami,MS Dhoni,V Kohli,MM Sharma,RG Sharma,S Dhawan,RA Jadeja,R Ashwin,SK Raina,11,R Rampaul,DJG Sammy,V Permaul,KOA Powell,DM Bravo,SP Narine,LMP Simmons,JO Holder,DJ Bravo,J Charles,MN Samuels,0,West Indies,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,2013
Centurion,3,South Africa,1,VVS Laxman,SR Tendulkar,S Sreesanth,MS Dhoni,D Mongia,V Sehwag,Z Khan,KD Karthik,Harbhajan Singh,A Kumble,IK Pathan,12,AB de Villiers,,,RJ Peterson,M Ntini,SM Pollock,A Nel,JM Kemp,GC Smith,JH Kallis,,0,India,SuperSport Park,0,2006
Ahmedabad,5,India,1,V Sehwag,SK Raina,R Vinay Kumar,V Kohli,G Gambhir,RG Sharma,R Ashwin,UT Yadav,RA Jadeja,A Mithun,PA Patel,12,R Rampaul,DJG Sammy,DP Hyatt,DM Bravo,MN Samuels,D Ramdin,SP Narine,LMP Simmons,KAJ Roach,AD Russell,KA Pollard,0,West Indies,"Sardar Patel Stadium, Motera",1,2011
Auckland,25,New Zealand,0,B Kumar,Mohammed Shami,AM Rahane,VR Aaron,MS Dhoni,V Kohli,RG Sharma,S Dhawan,R Ashwin,RA Jadeja,SK Raina,1,NL McCullum,BB McCullum,TG Southee,JD Ryder,MJ McClenaghan,CJ Anderson,HK Bennett,LRPL Taylor,KS Williamson,L Ronchi,MJ Guptill,1,India,Eden Park,0,2014
Kochi,8,India,1,B Kumar,Mohammed Shami,AM Rahane,A Mishra,AT Rayudu,MS Dhoni,V Kohli,MM Sharma,S Dhawan,RA Jadeja,SK Raina,10,R Rampaul,DJG Sammy,JE Taylor,DM Bravo,MN Samuels,SJ Benn,D Ramdin,DR Smith,AD Russell,DJ Bravo,KA Pollard,0,West Indies,Nehru Stadium,1,2014
Mirpur,12,Bangladesh,1,PP Chawla,MM Patel,Yuvraj Singh,RR Powar,D Mongia,MS Dhoni,R Dravid,V Sehwag,G Gambhir,Z Khan,KD Karthik,5,Mashrafe Mortaza,Habibul Bashar,Shakib Al Hasan,Mohammad Ashraful,Tamim Iqbal,Mushfiqur Rahim,Syed Rasel,Mohammad Rafique,Javed Omar,Abdur Razzak,Aftab Ahmed,0,India,Shere Bangla National Stadium,1,2007
Karachi,3,India,1,RP Singh,SK Raina,Yuvraj Singh,P Kumar,PP Ojha,MS Dhoni,V Sehwag,I Sharma,G Gambhir,RG Sharma,IK Pathan,7,KMDN Kulasekara,CRD Fernando,DPMD Jayawardene,LPC Silva,TM Dilshan,T Thushara,ST Jayasuriya,KC Sangakkara,CK Kapugedera,K Weeraratne,M Muralitharan,0,Sri Lanka,National Stadium,0,2008
Kanpur,11,India,0,RP Singh,Yuvraj Singh,SR Tendulkar,MS Dhoni,G Gambhir,Z Khan,RV Uthappa,M Kartik,SC Ganguly,Harbhajan Singh,IK Pathan,11,Salman Butt,Misbah-ul-Haq,Abdur Rehman,Sohail Tanvir,Kamran Akmal,Shoaib Akhtar,Younis Khan,Umar Gul,Shoaib Malik,Shahid Afridi,Mohammad Yousuf,0,Pakistan,Green Park,0,2007
Perth,6,India,1,MS Dhoni,Mohammed Shami,AM Rahane,V Kohli,MM Sharma,RG Sharma,S Dhawan,R Ashwin,RA Jadeja,UT Yadav,SK Raina,3,JL Carter,DJG Sammy,JE Taylor,CH Gayle,D Ramdin,LMP Simmons,JO Holder,DR Smith,KAJ Roach,AD Russell,MN Samuels,0,West Indies,Western Australia Cricket Association Ground,0,2015
Johannesburg,15,South Africa,1,MS Dhoni,SR Tendulkar,M Vijay,V Kohli,Z Khan,A Nehra,RG Sharma,Harbhajan Singh,MM Patel,SK Raina,Yuvraj Singh,1,DW Steyn,GC Smith,DA Miller,JP Duminy,LL Tsotsobe,M Morkel,AB de Villiers,J Botha,CA Ingram,WD Parnell,HM Amla,0,India,New Wanderers Stadium,1,2011
Jaipur,18,India,1,SR Tendulkar,Yuvraj Singh,S Sreesanth,P Kumar,MS Dhoni,V Sehwag,G Gambhir,M Kartik,RV Uthappa,RG Sharma,IK Pathan,11,Fawad Alam,Misbah-ul-Haq,,Salman Butt,Sohail Tanvir,Iftikhar Anjum,Umar Gul,Imran Nazir,Shoaib Malik,Yasir Hameed,Mohammad Yousuf,0,Pakistan,Sawai Mansingh Stadium,1,2007
Belfast,23,Ireland,0,AB Agarkar,,,PP Chawla,RP Singh,SR Tendulkar,G Gambhir,SC Ganguly,S Sreesanth,,,6,WTS Porterfield,GC Wilson,RK Whelan,DI Joyce,AR White,KED Carroll,DT Johnston,WK McCallan,MJ Fourie,NJ O'Brien,KJ O'Brien,0,India,"Civil Service Cricket Club, Stormont",1,2007
