Venue,Stadium Win Rate,FirstToBat,Home Field Advantage,SecondTeam,WinLose ratio bat or bowl first against team,Year,DewPoint,Humidity,WindSpeed,Temp,IndianPlayer1,IndianPlayer10,IndianPlayer11,IndianPlayer2,IndianPlayer3,IndianPlayer4,IndianPlayer5,IndianPlayer6,IndianPlayer7,IndianPlayer8,IndianPlayer9,OppositePlayer1,OppositePlayer10,OppositePlayer11,OppositePlayer2,OppositePlayer3,OppositePlayer4,OppositePlayer5,OppositePlayer6,OppositePlayer7,OppositePlayer8,OppositePlayer9,Winner
Shere Bangla National Stadium,0.6363636364,0,0,Bangladesh,1.67,2014,26,79,2,30,AT Rayudu,AM Rahane,CA Pujara,A Mishra,MM Sharma,AR Patel,RV Uthappa,WP Saha,UT Yadav,SK Raina,STR Binny,Mashrafe Mortaza,Al-Amin Hossain,Shakib Al Hasan,Tamim Iqbal,Mushfiqur Rahim,Ziaur Rahman,Mithun Ali,Mahmudullah,Taskin Ahmed,Anamul Haque,Nasir Hossain,0
Shere Bangla National Stadium,0.6363636364,0,0,Bangladesh,1.67,2011,13,47,1,22,V Sehwag,S Sreesanth,,V Kohli,G Gambhir,Z Khan,Harbhajan Singh,MM Patel,YK Pathan,Yuvraj Singh,SR Tendulkar,Junaid Siddique,Raqibul Hasan,Shafiul Islam,Tamim Iqbal,Mushfiqur Rahim,Naeem Islam,Rubel Hossain,Mahmudullah,Imrul Kayes,Abdur Razzak,Shakib Al Hasan,0
Shere Bangla National Stadium,0.6363636364,0,0,Bangladesh,1.67,2015,24,64,5,30,AT Rayudu,DS Kulkarni,SK Raina,B Kumar,MS Dhoni,V Kohli,AR Patel,RG Sharma,S Dhawan,RA Jadeja,R Ashwin,Mashrafe Mortaza,Shakib Al Hasan,Litton Das,Soumya Sarkar,Tamim Iqbal,Mushfiqur Rahim,Sabbir Rahman,Rubel Hossain,Mustafizur Rahman,Taskin Ahmed,Nasir Hossain,1
Shere Bangla National Stadium,0.6363636364,0,0,Bangladesh,1.67,2012,12,47,1,20,P Kumar,SR Tendulkar,AB Dinda,MS Dhoni,V Kohli,G Gambhir,RG Sharma,RA Jadeja,R Ashwin,IK Pathan,SK Raina,Mashrafe Mortaza,Nasir Hossain,Shafiul Islam,Nazimuddin,Tamim Iqbal,Jahurul Islam,Mushfiqur Rahim,Mahmudullah,Shahadat Hossain,Abdur Razzak,Shakib Al Hasan,1
Shere Bangla National Stadium,0.6363636364,0,0,Bangladesh,1.67,2015,26,82,1,28,AT Rayudu,SK Raina,STR Binny,MS Dhoni,V Kohli,AR Patel,RG Sharma,S Dhawan,UT Yadav,R Ashwin,DS Kulkarni,Mashrafe Mortaza,Shakib Al Hasan,Litton Das,Soumya Sarkar,Arafat Sunny,Tamim Iqbal,Mushfiqur Rahim,Sabbir Rahman,Rubel Hossain,Mustafizur Rahman,Nasir Hossain,0
Shere Bangla National Stadium,0.6363636364,0,0,Bangladesh,1.67,2007,25,76,1,28,PP Chawla,MM Patel,Yuvraj Singh,RR Powar,D Mongia,MS Dhoni,R Dravid,V Sehwag,G Gambhir,Z Khan,KD Karthik,Mashrafe Mortaza,Habibul Bashar,Shakib Al Hasan,Mohammad Ashraful,Tamim Iqbal,Mushfiqur Rahim,Syed Rasel,Mohammad Rafique,Javed Omar,Abdur Razzak,Aftab Ahmed,0
Shere Bangla National Stadium,0.6363636364,0,0,Pakistan,1.25,2008,25,77,4,28,PP Chawla,Yuvraj Singh,SK Raina,P Kumar,MS Dhoni,V Sehwag,I Sharma,G Gambhir,RG Sharma,IK Pathan,YK Pathan,Salman Butt,Mohammad Yousuf,Misbah-ul-Haq,Sohail Tanvir,Kamran Akmal,Younis Khan,Iftikhar Anjum,Umar Gul,Wahab Riaz,Shoaib Malik,Shahid Afridi,0
Shere Bangla National Stadium,0.6363636364,0,0,Pakistan,1.25,2014,13,40,2,23,AT Rayudu,Mohammed Shami,AM Rahane,A Mishra,B Kumar,V Kohli,RG Sharma,KD Karthik,S Dhawan,RA Jadeja,R Ashwin,Saeed Ajmal,Misbah-ul-Haq,Sharjeel Khan,Sohaib Maqsood,Ahmed Shehzad,Umar Gul,Junaid Khan,Mohammad Hafeez,Umar Akmal,Mohammad Talha,Shahid Afridi,1
Shere Bangla National Stadium,0.6363636364,0,0,Sri Lanka,1.4,2010,11,80,1,12,MS Dhoni,Yuvraj Singh,S Sreesanth,V Sehwag,V Kohli,G Gambhir,Z Khan,A Nehra,Harbhajan Singh,RA Jadeja,SK Raina,S Randiv,NLTC Perera,DPMD Jayawardene,TT Samaraweera,KMDN Kulasekara,T Thushara,TM Dilshan,SHT Kandamby,UWMBCA Welegedara,WU Tharanga,KC Sangakkara,1
Shere Bangla National Stadium,0.6363636364,0,0,Sri Lanka,1.4,2010,11,73,3,16,MS Dhoni,Yuvraj Singh,S Sreesanth,V Sehwag,V Kohli,G Gambhir,Z Khan,A Nehra,Harbhajan Singh,RA Jadeja,SK Raina,S Randiv,NLTC Perera,,TT Samaraweera,RAS Lakmal,T Thushara,SHT Kandamby,HDRL Thirimanne,UWMBCA Welegedara,WU Tharanga,KC Sangakkara,1
Shere Bangla National Stadium,0.6363636364,0,0,Sri Lanka,1.4,2012,13,40,1,26,P Kumar,SR Tendulkar,R Vinay Kumar,MS Dhoni,V Kohli,G Gambhir,RG Sharma,RA Jadeja,R Ashwin,IK Pathan,SK Raina,RAS Lakmal,MF Maharoof,S Prasanna,KMDN Kulasekara,TM Dilshan,DPMD Jayawardene,HDRL Thirimanne,WU Tharanga,KC Sangakkara,CK Kapugedera,LD Chandimal,0
Shere Bangla National Stadium,0.6363636364,1,0,Bangladesh,3.2,2007,24,63,1,30,RR Powar,Yuvraj Singh,S Sreesanth,D Mongia,MS Dhoni,V Sehwag,R Dravid,Z Khan,G Gambhir,KD Karthik,MM Patel,Mohammad Ashraful,Habibul Bashar,Shakib Al Hasan,Tamim Iqbal,Mushfiqur Rahim,Mohammad Rafique,Javed Omar,Syed Rasel,Shahadat Hossain,Abdur Razzak,Aftab Ahmed,0
Shere Bangla National Stadium,0.6363636364,1,0,Bangladesh,3.2,2010,13,76,1,17,MS Dhoni,Yuvraj Singh,S Sreesanth,V Sehwag,A Nehra,Z Khan,G Gambhir,V Kohli,Harbhajan Singh,RA Jadeja,SK Raina,Mohammad Ashraful,Raqibul Hasan,Shakib Al Hasan,Tamim Iqbal,Mushfiqur Rahim,Mahmudullah,Naeem Islam,Syed Rasel,Imrul Kayes,Abdur Razzak,Rubel Hossain,0
Shere Bangla National Stadium,0.6363636364,1,0,Bangladesh,3.2,2014,25,55,1,32,A Mishra,CA Pujara,,AT Rayudu,MM Sharma,AR Patel,RV Uthappa,UT Yadav,SK Raina,Parvez Rasool,AM Rahane,Mashrafe Mortaza,Anamul Haque,Shakib Al Hasan,Al-Amin Hossain,Tamim Iqbal,Mushfiqur Rahim,Mahmudullah,Ziaur Rahman,Abdur Razzak,Mominul Haque,Nasir Hossain,0
Shere Bangla National Stadium,0.6363636364,1,0,Bangladesh,3.2,2010,10,64,4,15,A Mishra,S Sreesanth,S Tyagi,MS Dhoni,A Nehra,G Gambhir,V Kohli,KD Karthik,RA Jadeja,SK Raina,Yuvraj Singh,Mohammad Ashraful,Raqibul Hasan,Shakib Al Hasan,Tamim Iqbal,Mushfiqur Rahim,Mahmudullah,Naeem Islam,Syed Rasel,Imrul Kayes,Abdur Razzak,Shafiul Islam,0
Shere Bangla National Stadium,0.6363636364,1,0,Bangladesh,3.2,2015,25,68,1,30,B Kumar,SK Raina,AM Rahane,MS Dhoni,V Kohli,MM Sharma,RG Sharma,S Dhawan,R Ashwin,UT Yadav,RA Jadeja,Mashrafe Mortaza,Shakib Al Hasan,Litton Das,Soumya Sarkar,Tamim Iqbal,Mushfiqur Rahim,Sabbir Rahman,Rubel Hossain,Mustafizur Rahman,Taskin Ahmed,Nasir Hossain,1
Shere Bangla National Stadium,0.6363636364,1,0,Pakistan,1.375,2008,26,69,3,29,PP Chawla,Yuvraj Singh,SK Raina,P Kumar,MS Dhoni,V Sehwag,I Sharma,G Gambhir,RG Sharma,IK Pathan,YK Pathan,Fawad Alam,Misbah-ul-Haq,,Salman Butt,Sohail Tanvir,Kamran Akmal,Younis Khan,Iftikhar Anjum,Umar Gul,Shoaib Malik,Shahid Afridi,1
Shere Bangla National Stadium,0.6363636364,1,0,Pakistan,1.375,2012,19,53,1,26,P Kumar,SR Tendulkar,AB Dinda,MS Dhoni,V Kohli,G Gambhir,RG Sharma,R Ashwin,IK Pathan,YK Pathan,SK Raina,Saeed Ajmal,Shahid Afridi,Misbah-ul-Haq,Younis Khan,Nasir Jamshed,Umar Gul,Mohammad Hafeez,Aizaz Cheema,Umar Akmal,Wahab Riaz,Hammad Azam,0
Shere Bangla National Stadium,0.6363636364,1,0,Sri Lanka,1.9,2010,11,48,2,20,A Mishra,S Tyagi,,V Kohli,Z Khan,G Gambhir,KD Karthik,RA Jadeja,SK Raina,Yuvraj Singh,S Sreesanth,S Randiv,NLTC Perera,DPMD Jayawardene,TT Samaraweera,SHT Kandamby,T Thushara,TM Dilshan,RAS Lakmal,UWMBCA Welegedara,WU Tharanga,KC Sangakkara,0
"Sir Vivian Richards Stadium, North Sound",0.5,1,0,West Indies,1.64,2011,24,75,10,28,A Mishra,YK Pathan,SK Raina,P Kumar,V Kohli,S Badrinath,RG Sharma,S Dhawan,Harbhajan Singh,PA Patel,MM Patel,MN Samuels,DJG Sammy,DP Hyatt,RR Sarwan,LMP Simmons,KAJ Roach,KA Edwards,CS Baugh,AD Russell,D Bishoo,KA Pollard,0
"Sir Vivian Richards Stadium, North Sound",0.5,1,0,West Indies,1.64,2011,24,75,17,28,A Mishra,YK Pathan,SK Raina,P Kumar,I Sharma,V Kohli,S Badrinath,RG Sharma,R Ashwin,PA Patel,MK Tiwary,DM Bravo,DJG Sammy,DP Hyatt,MN Samuels,RR Sarwan,LMP Simmons,KAJ Roach,CS Baugh,AD Russell,KA Pollard,A Martin,1
Sophia Gardens,0.75,0,0,England,1.25,2011,12,87,14,14,RP Singh,R Vinay Kumar,AM Rahane,MS Dhoni,R Dravid,V Kohli,RA Jadeja,PA Patel,R Ashwin,MM Patel,SK Raina,GP Swann,AN Cook,SR Patel,C Kieswetter,JW Dernbach,TT Bresnan,IJL Trott,JM Bairstow,IR Bell,ST Finn,RS Bopara,1
Sophia Gardens,0.75,0,0,England,1.25,2014,13,88,21,15,B Kumar,Mohammed Shami,AM Rahane,MS Dhoni,V Kohli,MM Sharma,RG Sharma,S Dhawan,RA Jadeja,R Ashwin,SK Raina,AD Hales,CR Woakes,JE Root,JC Buttler,CJ Jordan,JC Tredwell,IR Bell,EJG Morgan,JM Anderson,AN Cook,BA Stokes,0
Sophia Gardens,0.75,0,0,South Africa,2.33,2013,10,75,20,14,B Kumar,UT Yadav,SK Raina,MS Dhoni,I Sharma,V Kohli,RG Sharma,KD Karthik,S Dhawan,RA Jadeja,R Ashwin,JP Duminy,F du Plessis,DA Miller,RJ Peterson,M Morkel,RK Kleinveldt,LL Tsotsobe,AB de Villiers,CA Ingram,R McLaren,HM Amla,0
Sophia Gardens,0.75,1,0,Sri Lanka,1.9,2013,13,88,14,16,B Kumar,SK Raina,,MS Dhoni,I Sharma,V Kohli,RG Sharma,S Dhawan,R Ashwin,UT Yadav,RA Jadeja,MDKJ Perera,AD Mathews,DPMD Jayawardene,HMRKB Herath,KMDN Kulasekara,TM Dilshan,HDRL Thirimanne,BMAJ Mendis,SL Malinga,KC Sangakkara,NLTC Perera,0
St George's Park,0,1,0,South Africa,0.666,2011,16,76,20,20,MS Dhoni,Yuvraj Singh,YK Pathan,A Nehra,Z Khan,V Kohli,RG Sharma,Harbhajan Singh,PA Patel,MM Patel,SK Raina,DW Steyn,GC Smith,F du Plessis,JP Duminy,AB de Villiers,RJ Peterson,LL Tsotsobe,M Morkel,J Botha,HM Amla,MN van Wyk,1
St George's Park,0,1,0,South Africa,0.666,2006,16,73,9,20,AB Agarkar,S Sreesanth,W Jaffer,SR Tendulkar,MS Dhoni,V Sehwag,Z Khan,KD Karthik,M Kaif,A Kumble,IK Pathan,AB de Villiers,GC Smith,JH Kallis,LE Bosman,AJ Hall,MV Boucher,HH Gibbs,M Ntini,SM Pollock,A Nel,JM Kemp,1
SuperSport Park,0,1,0,Australia,0.6,2009,16.67,66.4,9,23.3,A Mishra,,,P Kumar,I Sharma,A Nehra,Harbhajan Singh,SK Raina,,,,RT Ponting,,,CJ Ferguson,SR Watson,TD Paine,CL White,MEK Hussey,,,,1
SuperSport Park,0,1,0,Pakistan,1.375,2009,16.67,66.4,9,23.3,RP Singh,SK Raina,SR Tendulkar,MS Dhoni,I Sharma,A Nehra,V Kohli,G Gambhir,R Dravid,Harbhajan Singh,YK Pathan,Saeed Ajmal,Shahid Afridi,Mohammad Yousuf,Kamran Akmal,Younis Khan,Umar Gul,Naved-ul-Hasan,Umar Akmal,Mohammad Amir,Imran Nazir,Shoaib Malik,1
SuperSport Park,0,1,0,South Africa,0.666,2011,16.67,66.4,9,23.3,PP Chawla,Yuvraj Singh,SK Raina,MS Dhoni,V Kohli,Z Khan,RG Sharma,Harbhajan Singh,PA Patel,MM Patel,YK Pathan,DW Steyn,GC Smith,F du Plessis,JP Duminy,AB de Villiers,RJ Peterson,M Morkel,LL Tsotsobe,J Botha,HM Amla,MN van Wyk,1
The Rose Bowl,0,0,0,England,1.25,2011,13,88,31,15,P Kumar,R Vinay Kumar,AM Rahane,MS Dhoni,R Dravid,V Kohli,R Ashwin,PA Patel,MM Patel,MK Tiwary,SK Raina,SCJ Broad,SR Patel,,GP Swann,C Kieswetter,JW Dernbach,TT Bresnan,IR Bell,RS Bopara,JM Anderson,AN Cook,1
The Rose Bowl,0,1,0,England,1.75,2007,11,80,20,14,PP Chawla,Yuvraj Singh,SR Tendulkar,AB Agarkar,RP Singh,MS Dhoni,R Dravid,Z Khan,G Gambhir,KD Karthik,SC Ganguly,SCJ Broad,KP Pietersen,,MJ Prior,IR Bell,A Flintoff,PD Collingwood,JM Anderson,MS Panesar,AD Mascarenhas,AN Cook,1
Trent Bridge,1,1,0,England,1.75,2014,12,80,22,16,B Kumar,AM Rahane,,AT Rayudu,V Kohli,MM Sharma,S Dhawan,R Ashwin,RA Jadeja,SK Raina,Mohammed Shami,AD Hales,CR Woakes,JE Root,JC Buttler,JC Tredwell,IR Bell,ST Finn,EJG Morgan,JM Anderson,AN Cook,BA Stokes,0
Vidarbha Cricket Association Ground,0.5,1,1,Australia,0.6,2007,15,56,4,25,SR Tendulkar,Yuvraj Singh,S Sreesanth,MS Dhoni,R Dravid,Z Khan,M Kartik,RV Uthappa,SC Ganguly,Harbhajan Singh,IK Pathan,RT Ponting,MG Johnson,GB Hogg,BJ Hodge,MJ Clarke,BJ Haddin,B Lee,NW Bracken,A Symonds,AC Gilchrist,JR Hopes,1
"Vidarbha Cricket Association Stadium, Jamtha",0.5,0,1,Australia,0.5,2009,14,56,2,24,P Kumar,Yuvraj Singh,SR Tendulkar,MS Dhoni,V Sehwag,A Nehra,G Gambhir,I Sharma,Harbhajan Singh,RA Jadeja,SK Raina,RT Ponting,CL White,MEK Hussey,PM Siddle,AC Voges,SR Watson,NM Hauritz,TD Paine,SE Marsh,BW Hilfenhaus,MG Johnson,0
"Vidarbha Cricket Association Stadium, Jamtha",0.5,0,1,South Africa,2.33,2011,10,32,10,27,MS Dhoni,Yuvraj Singh,SR Tendulkar,V Sehwag,V Kohli,G Gambhir,Z Khan,A Nehra,Harbhajan Singh,MM Patel,YK Pathan,DW Steyn,F du Plessis,JH Kallis,JP Duminy,M Morkel,RJ Peterson,AB de Villiers,J Botha,HM Amla,MN van Wyk,GC Smith,1
"Vidarbha Cricket Association Stadium, Jamtha",0.5,0,1,Sri Lanka,1.4,2009,17,77,5,22,P Kumar,SK Raina,SR Tendulkar,MS Dhoni,V Sehwag,V Kohli,G Gambhir,Z Khan,A Nehra,Harbhajan Singh,RA Jadeja,S Randiv,BAW Mendis,DPMD Jayawardene,RAS Lakmal,SHT Kandamby,TM Dilshan,UWMBCA Welegedara,WU Tharanga,KC Sangakkara,CK Kapugedera,AD Mathews,1
"Vidarbha Cricket Association Stadium, Jamtha",0.5,1,1,Australia,0.6,2013,16,62,3,24,B Kumar,Yuvraj Singh,Mohammed Shami,A Mishra,MS Dhoni,V Kohli,RG Sharma,S Dhawan,R Ashwin,RA Jadeja,SK Raina,GJ Maxwell,SR Watson,MG Johnson,JP Faulkner,CJ McKay,GJ Bailey,AJ Finch,BJ Haddin,XJ Doherty,AC Voges,PJ Hughes,0
Wankhede Stadium,0.75,1,1,Australia,0.6,2007,19,55,4,28,RP Singh,Yuvraj Singh,SR Tendulkar,MS Dhoni,Z Khan,M Kartik,KD Karthik,SC Ganguly,RV Uthappa,Harbhajan Singh,IK Pathan,RT Ponting,MG Johnson,GB Hogg,BJ Hodge,MJ Clarke,BJ Haddin,B Lee,NW Bracken,A Symonds,AC Gilchrist,JR Hopes,0
Wankhede Stadium,0.75,1,1,England,1.75,2011,16,43,6,29,P Kumar,R Vinay Kumar,AM Rahane,VR Aaron,MS Dhoni,V Kohli,G Gambhir,R Ashwin,RA Jadeja,PA Patel,SK Raina,SC Meaker,KP Pietersen,SR Patel,IJL Trott,C Kieswetter,JM Bairstow,TT Bresnan,ST Finn,RS Bopara,SG Borthwick,AN Cook,0
Wankhede Stadium,0.75,1,1,South Africa,0.666,2015,25,72,5,30,B Kumar,SK Raina,AM Rahane,A Mishra,MS Dhoni,V Kohli,MM Sharma,AR Patel,RG Sharma,S Dhawan,Harbhajan Singh,DW Steyn,Imran Tahir,DA Miller,AB de Villiers,K Rabada,F Behardien,KJ Abbott,Q de Kock,D Elgar,HM Amla,F du Plessis,1
Wankhede Stadium,0.75,1,1,Sri Lanka,1.9,2011,22,72,7,26,SR Tendulkar,S Sreesanth,,MS Dhoni,V Sehwag,V Kohli,Z Khan,G Gambhir,Harbhajan Singh,MM Patel,Yuvraj Singh,S Randiv,NLTC Perera,DPMD Jayawardene,TT Samaraweera,KMDN Kulasekara,TM Dilshan,SL Malinga,WU Tharanga,KC Sangakkara,CK Kapugedera,M Muralitharan,0
Western Australia Cricket Association Ground,0.6,0,0,England,1.25,2015,8,25,17,28,AT Rayudu,STR Binny,AM Rahane,MS Dhoni,V Kohli,MM Sharma,AR Patel,S Dhawan,RA Jadeja,SK Raina,Mohammed Shami,SCJ Broad,CR Woakes,JE Root,JC Buttler,IR Bell,ST Finn,RS Bopara,MM Ali,JM Anderson,JWA Taylor,EJG Morgan,1
Western Australia Cricket Association Ground,0.6,1,0,Sri Lanka,1.9,2012,9,32,24,26,P Kumar,SR Tendulkar,R Vinay Kumar,MS Dhoni,V Sehwag,V Kohli,Z Khan,RG Sharma,RA Jadeja,R Ashwin,SK Raina,KMDN Kulasekara,LD Chandimal,DPMD Jayawardene,TM Dilshan,HDRL Thirimanne,KTGD Prasad,SL Malinga,WU Tharanga,KC Sangakkara,NLTC Perera,AD Mathews,0
Western Australia Cricket Association Ground,0.6,1,0,West Indies,1.64,2015,12,44,20,26,MS Dhoni,Mohammed Shami,AM Rahane,V Kohli,MM Sharma,RG Sharma,S Dhawan,R Ashwin,RA Jadeja,UT Yadav,SK Raina,JL Carter,DJG Sammy,JE Taylor,CH Gayle,D Ramdin,LMP Simmons,JO Holder,DR Smith,KAJ Roach,AD Russell,MN Samuels,0
Westpac Stadium,0,1,0,New Zealand,1.66,2014,13,79,21,18,B Kumar,Mohammed Shami,AM Rahane,AT Rayudu,VR Aaron,MS Dhoni,V Kohli,RG Sharma,S Dhawan,R Ashwin,RA Jadeja,NL McCullum,MJ Henry,BB McCullum,JD Ryder,MJ McClenaghan,JDS Neesham,LRPL Taylor,KS Williamson,L Ronchi,KD Mills,MJ Guptill,1
