Venue,Stadium Win Rate,FirstToBat,Home Field Advantage,SecondTeam,WinLose ratio bat or bowl first against team,Year,DewPoint,Humidity,WindSpeed,Temp,IndianPlayer1,IndianPlayer10,IndianPlayer11,IndianPlayer2,IndianPlayer3,IndianPlayer4,IndianPlayer5,IndianPlayer6,IndianPlayer7,IndianPlayer8,IndianPlayer9,OppositePlayer1,OppositePlayer10,OppositePlayer11,OppositePlayer2,OppositePlayer3,OppositePlayer4,OppositePlayer5,OppositePlayer6,OppositePlayer7,OppositePlayer8,OppositePlayer9,Winner
Edgbaston,0.75,1,0,Pakistan,1.375,2013,8,78,18,12,B Kumar,,,I Sharma,V Kohli,RG Sharma,KD Karthik,S Dhawan,R Ashwin,UT Yadav,RA Jadeja,Saeed Ajmal,Misbah-ul-Haq,Umar Amin,Kamran Akmal,Nasir Jamshed,Asad Shafiq,Junaid Khan,Mohammad Hafeez,Wahab Riaz,Shoaib Malik,Mohammad Irfan,0
Feroz Shah Kotla,0.8333333333,0,1,Pakistan,1.25,2013,6,98,6,7,B Kumar,Shami Ahmed,AM Rahane,MS Dhoni,I Sharma,V Kohli,G Gambhir,R Ashwin,RA Jadeja,SK Raina,Yuvraj Singh,Saeed Ajmal,Mohammad Irfan,Misbah-ul-Haq,Kamran Akmal,Younis Khan,Nasir Jamshed,Umar Gul,Junaid Khan,Mohammad Hafeez,Umar Akmal,Shoaib Malik,0
Feroz Shah Kotla,0.8333333333,0,1,West Indies,1.22,2014,15,50,3,27,AT Rayudu,Mohammed Shami,AM Rahane,B Kumar,A Mishra,MS Dhoni,V Kohli,S Dhawan,RA Jadeja,UT Yadav,SK Raina,R Rampaul,DJG Sammy,JE Taylor,DM Bravo,SJ Benn,D Ramdin,DR Smith,AD Russell,DJ Bravo,MN Samuels,KA Pollard,0
Feroz Shah Kotla,0.8333333333,1,1,Australia,0.6,2009,9,38,5,24,P Kumar,Yuvraj Singh,SR Tendulkar,MS Dhoni,I Sharma,A Nehra,V Sehwag,G Gambhir,Harbhajan Singh,RA Jadeja,SK Raina,RT Ponting,MEK Hussey,,PM Siddle,MC Henriques,AC Voges,SR Watson,NM Hauritz,DE Bollinger,MG Johnson,CL White,0
Feroz Shah Kotla,0.8333333333,1,1,England,1.75,2011,12,45,3,26,P Kumar,,,V Kohli,G Gambhir,R Ashwin,RA Jadeja,UT Yadav,PA Patel,R Vinay Kumar,AM Rahane,GP Swann,KP Pietersen,SR Patel,IJL Trott,C Kieswetter,JM Bairstow,TT Bresnan,JW Dernbach,ST Finn,RS Bopara,AN Cook,0
Green Park,0.75,0,1,Pakistan,1.25,2007,16,64,2,22,RP Singh,Yuvraj Singh,SR Tendulkar,MS Dhoni,G Gambhir,Z Khan,RV Uthappa,M Kartik,SC Ganguly,Harbhajan Singh,IK Pathan,Salman Butt,Misbah-ul-Haq,Abdur Rehman,Sohail Tanvir,Kamran Akmal,Shoaib Akhtar,Younis Khan,Umar Gul,Shoaib Malik,Shahid Afridi,Mohammad Yousuf,0
Green Park,0.75,1,1,England,1.75,2008,18,75,2,22,MS Dhoni,Yuvraj Singh,SK Raina,I Sharma,V Sehwag,Z Khan,G Gambhir,RG Sharma,Harbhajan Singh,MM Patel,YK Pathan,OA Shah,KP Pietersen,SR Patel,GP Swann,SCJ Broad,MJ Prior,IR Bell,RS Bopara,A Flintoff,PD Collingwood,JM Anderson,0
Green Park,0.75,1,1,South Africa,0.666,2015,18,49,1,29,B Kumar,STR Binny,AM Rahane,A Mishra,MS Dhoni,V Kohli,RG Sharma,S Dhawan,R Ashwin,UT Yadav,SK Raina,DW Steyn,Imran Tahir,DA Miller,JP Duminy,AB de Villiers,K Rabada,M Morkel,F Behardien,Q de Kock,HM Amla,F du Plessis,1
Green Park,0.75,1,1,West Indies,1.64,2013,14,71,3,18,B Kumar,Yuvraj Singh,Mohammed Shami,MS Dhoni,V Kohli,MM Sharma,RG Sharma,S Dhawan,R Ashwin,RA Jadeja,SK Raina,R Rampaul,DJG Sammy,V Permaul,KOA Powell,DM Bravo,SP Narine,LMP Simmons,JO Holder,DJ Bravo,J Charles,MN Samuels,0
Headingley,0.5,0,0,England,1.25,2007,13,91,20,14,AB Agarkar,Yuvraj Singh,SR Tendulkar,PP Chawla,RR Powar,MS Dhoni,R Dravid,G Gambhir,Z Khan,KD Karthik,SC Ganguly,J Lewis,AN Cook,KP Pietersen,SCJ Broad,OA Shah,MJ Prior,IR Bell,RS Bopara,PD Collingwood,JM Anderson,MS Panesar,0
